//=============================================================================
// Alchemist Greevil's Greed
//=============================================================================
// "DOTA_Tooltip_ability_alchemist_goblins_greed"                                 "Greevil's Greed"
// "DOTA_Tooltip_ability_alchemist_goblins_greed_abilitydraft_note"               "Chemical Rage Aghanim's Scepter has been moved to Greevil's Greed for Ability Draft. Use Aghanim's Scepter on an allied hero to grant them all Aghanim's Scepter upgrades. When you have a Scepter of your own, you will gain bonus damage and spell amplification for each gifted Scepter."
// "DOTA_Tooltip_ability_alchemist_goblins_greed_Description"                     "Alchemist synthesizes additional gold from his enemies and bounty runes. With each kill, Alchemist earns base bonus gold and extra bonus gold. If Alchemist kills another unit which yields gold within the next %duration% seconds, an additional instance of Extra Bonus Gold is added to the total. Additionally, causes bounty runes to yield more gold."
// "DOTA_Tooltip_ability_alchemist_goblins_greed_Lore"                            "While it is not a mountain, Razzil has mastered the conversion of smaller compounds to line his pockets."
// "DOTA_Tooltip_ability_alchemist_goblins_greed_duration"                        "RECENT KILL WINDOW:"
// "DOTA_Tooltip_ability_alchemist_goblins_greed_bonus_gold"                      "BASE BONUS GOLD:"
// "DOTA_Tooltip_ability_alchemist_goblins_greed_bonus_bonus_gold"                "EXTRA BONUS GOLD:"
// "DOTA_Tooltip_ability_alchemist_goblins_greed_bonus_gold_cap"                  "MAX BONUS GOLD PER KILL:"
// "DOTA_Tooltip_ability_alchemist_goblins_greed_bounty_multiplier"               "BOUNTY RUNE MULTIPLIER:"

"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa"                              "#{DOTA_Tooltip_ability_alchemist_goblins_greed}"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_Description"                  "#{DOTA_Tooltip_ability_alchemist_goblins_greed_Description}\n<font color='#FFA500'>Gold Corrosion: Alchemist's attacks reduce unit's armor if a unit has gold. Armor reduction increases with each landed attack. If a unit somehow has more gold than the Alchemist, unit will lose more armor.</font>"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_Lore"                         "#{DOTA_Tooltip_ability_alchemist_goblins_greed_Lore}"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_duration"                     "#{DOTA_Tooltip_ability_alchemist_goblins_greed_duration}"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_bonus_gold"                   "#{DOTA_Tooltip_ability_alchemist_goblins_greed_bonus_gold}"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_bonus_bonus_gold"             "#{DOTA_Tooltip_ability_alchemist_goblins_greed_bonus_bonus_gold}"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_bonus_gold_cap"               "#{DOTA_Tooltip_ability_alchemist_goblins_greed_bonus_gold_cap}"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_bounty_multiplier"            "#{DOTA_Tooltip_ability_alchemist_goblins_greed_bounty_multiplier}"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_damage"                       "DAMAGE PER STACK:"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_armor_reduction_per_hit"      "ARMOR REDUCTION PER HIT:"
//"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_multiplier"                   "MULTIPLIER:"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_armor_reduction_duration"     "ARMOR REDUCTION DURATION:"
"DOTA_Tooltip_ability_alchemist_goblins_greed_oaa_armor_reduction_cap"          "ARMOR REDUCTION CAP:"

"DOTA_Tooltip_modifier_alchemist_gold_corrosion_oaa_debuff"                     "Gold Corrosion"
"DOTA_Tooltip_modifier_alchemist_gold_corrosion_oaa_debuff_Description"         "Armor reduced by %fMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"DOTA_Tooltip_ability_special_bonus_unique_alchemist_2_oaa"                     "+{s:value} #{DOTA_Tooltip_ability_alchemist_goblins_greed} Armor Reduction per hit"
