// "DOTA_Tooltip_ability_batrider_sticky_napalm"                                  "Sticky Napalm"
// "DOTA_Tooltip_ability_batrider_sticky_napalm_Description"                      "Drenches an area in sticky oil, amplifying damage from Batrider's attacks and abilities and slowing the movement speed and turn rate of enemies in the area.  Additional casts of Sticky Napalm continue to increase damage, up to %max_stacks% stacks."
// "DOTA_Tooltip_ability_batrider_sticky_napalm_Lore"                             "It's not uncommon to hear the Rider cackle while he increases the flammability of his opponents."
// "DOTA_Tooltip_ability_batrider_sticky_napalm_Note0"                            "All damage from Batrider gets amplified, except for Radiance, Orb of Venom, Urn of Shadows, and Spirit Vessel."
// "DOTA_Tooltip_ability_batrider_sticky_napalm_Note1"                            "Sticky napalm does not require turning to cast."
// "DOTA_Tooltip_ability_batrider_sticky_napalm_damage"                           "EXTRA DAMAGE:"
// "DOTA_Tooltip_ability_batrider_sticky_napalm_duration"                         "DURATION:"
// "DOTA_Tooltip_ability_batrider_sticky_napalm_movement_speed_pct"               "%MOVEMENT SLOW:"
// "DOTA_Tooltip_ability_batrider_sticky_napalm_turn_rate_pct"                    "%TURN RATE SLOW:"
// "DOTA_Tooltip_ability_batrider_sticky_napalm_radius"                           "RADIUS:"

// "DOTA_Tooltip_modifier_batrider_sticky_napalm"                                 "Sticky Napalm"
// "DOTA_Tooltip_modifier_batrider_sticky_napalm_Description"                     "Increasing napalm-caster's damage by %dMODIFIER_PROPERTY_TOOLTIP%.\nSlowing turn rate by %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%%.\nSlowing movement speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa"                               "#{DOTA_Tooltip_ability_batrider_sticky_napalm}"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_Description"                   "#{DOTA_Tooltip_ability_batrider_sticky_napalm_Description}"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_Lore"                          "#{DOTA_Tooltip_ability_batrider_sticky_napalm_Lore}"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_Note0"                         "All damage from Batrider gets amplified, except for Radiance, Blood Grenade, Orb of Venom, Orb of Corrosion, Urn of Shadows, Spirit Vessel, Cloak of Flames, Mage Slayer, Spell Breaker and Blade of Judecca."
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_Note1"                         "#{DOTA_Tooltip_ability_batrider_sticky_napalm_Note1}"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_damage_per_stack"              "EXTRA DAMAGE PER STACK:"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_duration"                      "#{DOTA_Tooltip_ability_batrider_sticky_napalm_duration}"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_movement_speed_pct"            "%MOVE SPEED SLOW PER STACK:"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_turn_rate_pct"                 "#{DOTA_Tooltip_ability_batrider_sticky_napalm_turn_rate_pct}"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_radius"                        "#{DOTA_Tooltip_ability_batrider_sticky_napalm_radius}"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_damage_creeps"                 "%DAMAGE AGAINST CREEPS:"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_damage_ancients"               "%DAMAGE AGAINST ANCIENTS:"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_damage_bosses"                 "%<font color='#FFA500'>DAMAGE AGAINST BOSSES:</font>"
"DOTA_Tooltip_ability_batrider_sticky_napalm_oaa_shard_description"             "Flaming Lasso no longer disarms you. Every %shard_number_of_attack_proc%nd attack will apply a stack of Sticky Napalm."

"DOTA_Tooltip_modifier_batrider_sticky_napalm_oaa_debuff"                       "#{DOTA_Tooltip_modifier_batrider_sticky_napalm}"
"DOTA_Tooltip_modifier_batrider_sticky_napalm_oaa_debuff_Description"           "Increasing napalm-caster's damage.\nSlowing turn rate by %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%%.\nSlowing movement speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

//"DOTA_Tooltip_ability_special_bonus_unique_batrider_4"                          "+{s:bonus_damage} Sticky Napalm Damage"
//"DOTA_Tooltip_ability_special_bonus_unique_batrider_7"                          "+{s:bonus_radius} Sticky Napalm Radius"
"DOTA_Tooltip_ability_special_bonus_unique_batrider_4_oaa"                      "+{s:value} Sticky Napalm Damage"
"DOTA_Tooltip_ability_special_bonus_unique_batrider_7_oaa"                      "+{s:value} Sticky Napalm Radius"

"DOTA_Tooltip_ability_batrider_sticky_napalm_Facet_batrider_arsonist"           "Sticky Napalm deals full damage to Bosses."
