// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings"                           "Spawn Spiderlings"
// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings_Description"               "Broodmother injects her young into an enemy unit, dealing damage. The spiderlings will hatch if the target is killed while under this influence."
// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings_Lore"                      "Black Arachnia continues to raise her young, even amidst the field of combat.  The brood quickly learns how to support their mother."
// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings_Note0"                     "If the target is killed within %buff_duration% seconds of being hit with this skill, the Spiderlings will spawn."
// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings_Note1"                     "Units killed by Spiderlings will then give birth to Spiderites, smaller and less powerful versions of the Spiderlings."
// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings_spiderling_duration"       "LIFETIME:"
// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings_damage"                    "DAMAGE:"
// "DOTA_Tooltip_ability_broodmother_spawn_spiderlings_count"                     "COUNT:"

"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa"                        "#{DOTA_Tooltip_ability_broodmother_spawn_spiderlings}"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_Description"            "<font color='#FFA500'>Every time Broodmother or her summons kill a unit, spiderlings will hatch from the unit's corpse. If killed unit is a hero or boss, giant spiderling will spawn instead. Spiderling stats scale with Broodmother's hero level.</font>"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_Lore"                   "#{DOTA_Tooltip_ability_broodmother_spawn_spiderlings_Lore}"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_Note0"                  "Broodmother's summons need to be within 900 radius of Broodmother in order to spawn more spiderlings and giant spiderlings."
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_Note1"                  "#{DOTA_Tooltip_ability_broodmother_spawn_spiderlings_Note1}"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_duration"    "#{DOTA_Tooltip_ability_broodmother_spawn_spiderlings_spiderling_duration}"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_spawn_count"  "#{DOTA_Tooltip_ability_broodmother_spawn_spiderlings_count}"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_base_hp"     "SPIDERLING BASE HP:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_hp_per_level"  "SPIDERLING HP PER HERO LEVEL:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_base_armor"  "SPIDERLING BASE ARMOR:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_armor_per_level"  "SPIDERLING ARMOR PER HERO LEVEL:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_base_attack_damage"  "SPIDERLING BASE DAMAGE:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_attack_damage_per_level"  "SPIDERLING DAMAGE PER HERO LEVEL:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_giant_spiderling_base_hp"  "GIANT SPIDERLING BASE HP:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_giant_spiderling_base_attack_damage"  "GIANT SPIDERLING BASE DAMAGE:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_giant_spiderling_spawn_count"  "GIANT SPIDERLING SPAWN COUNT:"
"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_oaa_spiderling_max_count"   "MAX NUMBER OF SPIDERLINGS:"

"DOTA_Tooltip_ability_special_bonus_unique_broodmother_2_oaa"                   "+{s:value} Spiderlings Health Per Hero Level"
"DOTA_Tooltip_ability_special_bonus_unique_broodmother_4_oaa"                   "+{s:value} Spiderlings Damage Per Hero Level"
