//=============================================================================
// Clinkz Death Pact OAA
//=============================================================================
//"DOTA_Tooltip_ability_clinkz_death_pact"                                        "Death Pact"
//"DOTA_Tooltip_ability_clinkz_death_pact_Description"                            "Clinkz consumes the target enemy unit or friendly unit, gaining max health and damage based on its current health. Does not take Clinkz out of Skeleton Walk."
//"DOTA_Tooltip_ability_clinkz_death_pact_Lore"                                   "Sutherex' bond of life and death has become a part of Clinkz, and his old bones are refreshed with repetition of the pact on lesser beings."
//"DOTA_Tooltip_ability_clinkz_death_pact_Note0"                                  "If the target is an enemy, Clinkz will gain the correct experience and gold."
//"DOTA_Tooltip_ability_clinkz_death_pact_Note1"                                  "Increases Clinkz' current and max HP."
//"DOTA_Tooltip_ability_clinkz_death_pact_Note2"                                  "When the duration ends, max HP returns to normal, but current HP stays the same."
//"DOTA_Tooltip_ability_clinkz_death_pact_duration"                               "DURATION:"
//"DOTA_Tooltip_ability_clinkz_death_pact_health_gain_pct"                        "%BONUS HEALTH:"
//"DOTA_Tooltip_ability_clinkz_death_pact_damage_gain_pct"                        "%BONUS DAMAGE:"

//"DOTA_Tooltip_modifier_clinkz_death_pact"                                       "Death Pact"
//"DOTA_Tooltip_modifier_clinkz_death_pact_Description"                           "Max health increased by %dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS% and bonus damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
//"DOTA_Tooltip_modifier_clinkz_death_pact_enemy"                                 "Soul Feast"
//"DOTA_Tooltip_modifier_clinkz_death_pact_permanent_buff"                        "Death Pact Damage"
//"DOTA_Tooltip_modifier_clinkz_death_pact_permanent_buff_Description"            "Permanently increased damage gained from killing heroes during Death Pact"

"DOTA_Tooltip_ability_clinkz_death_pact_oaa"                                    "#{DOTA_Tooltip_ability_clinkz_death_pact}"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_Description"                        "Clinkz consumes the target enemy unit or friendly unit, gaining max health and damage based on its max health.\n<font color='#FFA500'>Death Pact has a limit to the amount of health and damage that can be gained.</font>"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_Lore"                               "#{DOTA_Tooltip_ability_clinkz_death_pact_Lore}"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_Note0"                              "#{DOTA_Tooltip_ability_clinkz_death_pact_Note0}"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_Note1"                              "#{DOTA_Tooltip_ability_clinkz_death_pact_Note1}"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_Note2"                              "#{DOTA_Tooltip_ability_clinkz_death_pact_Note2}"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_duration"                           "#{DOTA_Tooltip_ability_clinkz_death_pact_duration}"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_health_gain_pct"                    "%HEALTH GAIN:"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_damage_gain_pct"                    "%DAMAGE GAIN:"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_health_gain_max"                    "MAX HEALTH GAIN:"
"DOTA_Tooltip_ability_clinkz_death_pact_oaa_damage_gain_max"                    "MAX DAMAGE GAIN:"

"DOTA_Tooltip_ability_clinkz_death_pact_Description"                            "#{DOTA_Tooltip_ability_clinkz_death_pact_oaa_Description}"
"DOTA_Tooltip_ability_clinkz_death_pact_health_gain_max"                        "#{DOTA_Tooltip_ability_clinkz_death_pact_oaa_health_gain_max}"
"DOTA_Tooltip_ability_clinkz_death_pact_damage_gain_max"                        "#{DOTA_Tooltip_ability_clinkz_death_pact_oaa_damage_gain_max}"

"DOTA_Tooltip_modifier_clinkz_death_pact_effect_oaa"                            "#{DOTA_Tooltip_modifier_clinkz_death_pact}"
"DOTA_Tooltip_modifier_clinkz_death_pact_effect_oaa_Description"                "Bonus damage and increased max health."
