//=============================================================================
// Clinkz Strafe OAA
//=============================================================================
//"DOTA_Tooltip_ability_clinkz_strafe"                                            "Strafe"
//"DOTA_Tooltip_ability_clinkz_strafe_Description"                                "Clinkz nimbly attacks with a barrage of arrows. Gains 100% evasion from ranged attackers and dramatically increases attack speed for a short time."
//"DOTA_Tooltip_ability_clinkz_strafe_Lore"                                       "It's hard to say whether the blur around the Bone Fletcher is from his flaming heart or his speed with the quiver."
//"DOTA_Tooltip_ability_clinkz_strafe_attack_speed_bonus_pct"                     "BONUS ATTACK SPEED:"
//"DOTA_Tooltip_ability_clinkz_strafe_duration"                                   "DURATION:"
//"DOTA_Tooltip_ability_clinkz_strafe_Description"                                "Clinkz gains attack speed and has bonus attack range. Any current and future Skeleton Archers within a %strafe_skeleton_radius% radius of Clinkz also gain bonus attack range and %archer_attack_speed_pct%%% of the attack speed bonus. <br><br> Casting Strafe does not break Skeleton Walk invisibility."
//"DOTA_Tooltip_ability_clinkz_strafe_Lore"                                       "The closest Clinkz can come to peace is knowing that this was the last thing Maraxiform ever saw."
//"DOTA_Tooltip_ability_clinkz_strafe_attack_range_bonus"                         "ATTACK RANGE BONUS:"
//"DOTA_Tooltip_ability_clinkz_strafe_attack_speed_bonus"                         "ATTACK SPEED BONUS:"

"DOTA_Tooltip_ability_clinkz_strafe_oaa"                                        "Strafe"
"DOTA_Tooltip_ability_clinkz_strafe_oaa_Description"                            "Gains bonus evasion and attack speed for a short time."
"DOTA_Tooltip_ability_clinkz_strafe_oaa_Lore"                                   "The closest Clinkz can come to peace is knowing that this was the last thing Maraxiform ever saw."
"DOTA_Tooltip_ability_clinkz_strafe_oaa_duration"                               "DURATION:"
"DOTA_Tooltip_ability_clinkz_strafe_oaa_bonus_attack_speed"                     "BONUS ATTACK SPEED:"
"DOTA_Tooltip_ability_clinkz_strafe_oaa_bonus_evasion"                          "BONUS EVASION:"

//"DOTA_Tooltip_ability_clinkz_wind_walk_shard_description"                       "Causes Skeleton Walk to create two Burning Army Skeletons <font color='#FFA500'>and grants #{DOTA_Tooltip_ability_clinkz_strafe_oaa}:\n #{DOTA_Tooltip_ability_clinkz_strafe_oaa_Description}.</font>"

"DOTA_Tooltip_modifier_clinkz_strafe_oaa"                                       "#{DOTA_Tooltip_ability_clinkz_strafe_oaa}"
"DOTA_Tooltip_modifier_clinkz_strafe_oaa_Description"                           "%dMODIFIER_PROPERTY_EVASION_CONSTANT%%% bonus evasion and attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
