//=============================================================================
// Dragon Knight Fireball
//=============================================================================

//"DOTA_Tooltip_ability_black_dragon_fireball_Description"                        "Hurls a fire blast on the ground, igniting the area in a %radius% radius for %duration% seconds. Enemies caught in the fire will take %damage% damage per second."
//"DOTA_Tooltip_ability_dragon_knight_fireball"                                   "Fireball"
//"DOTA_Tooltip_ability_dragon_knight_fireball_Description"                       "Ignites an area, dealing damage over time that lingers on enemies in it. Has reduced cast range when melee."
"DOTA_Tooltip_ability_dragon_knight_fireball_Description"                       "Hurls a fire blast on the ground, igniting the area in a %radius% radius for %duration% seconds. Enemies caught in the fire will take %damage% damage per second. Fire lingers on enemies after they leave the area. Has reduced cast range when melee.\n<font color='#FFA500'>Enemies caught in the fire are also revealed with true sight and take extra damage based on their max health.</font>"
//"DOTA_Tooltip_ability_dragon_knight_fireball_radius"                            "RADIUS:"
//"DOTA_Tooltip_ability_dragon_knight_fireball_duration"                          "DURATION:"
//"DOTA_Tooltip_ability_dragon_knight_fireball_damage"                            "DAMAGE PER SECOND:"
//"DOTA_Tooltip_ability_dragon_knight_fireball_linger_duration"                   "LINGER DURATION:"
//"DOTA_Tooltip_ability_dragon_knight_fireball_dragon_form_cast_range"            "DRAGON FORM CAST RANGE:"
//"DOTA_Tooltip_ability_dragon_knight_fireball_melee_cast_range"                  "MELEE CAST RANGE:"
"DOTA_Tooltip_ability_dragon_knight_fireball_max_hp_damage"                     "%MAX HEALTH AS DAMAGE:"

//"DOTA_Tooltip_modifier_dragon_knight_fireball_burn"                             "Fireball"
//"DOTA_Tooltip_modifier_dragon_knight_fireball_burn_Description"                 "Taking %dMODIFIER_PROPERTY_TOOLTIP% damage per second."

"DOTA_Tooltip_modifier_dragon_knight_custom_shard_effect_oaa"                   "#{DOTA_Tooltip_modifier_dragon_knight_fireball_burn}"
"DOTA_Tooltip_modifier_dragon_knight_custom_shard_effect_oaa_Description"       "Revealed and taking max hp percent damage per second."
