// "DOTA_Tooltip_ability_drow_ranger_trueshot"                                    "Precision Aura"
// "DOTA_Tooltip_ability_drow_ranger_trueshot_Description"                        "Grants Drow bonus agility based on Drow's current agility and level. Nearby ranged heroes received %trueshot_agi_bonus_allies_pct%%% of the bonus agility."
// "DOTA_Tooltip_ability_drow_ranger_trueshot_Lore"                               "Traxex' time spent alone in the forests of her Drow home has allowed her to teach other archers how to improve their bow skills."
// "DOTA_Tooltip_ability_drow_ranger_trueshot_trueshot_agi_bonus_base"            "%AGILITY BASE BONUS:"
// "DOTA_Tooltip_ability_drow_ranger_trueshot_trueshot_agi_bonus_per_level"       "%AGILITY BONUS PER LEVEL:"
// "DOTA_Tooltip_ability_drow_ranger_trueshot_agi_bonus_pct_tooltip"              "%TOTAL AGILITY BONUS:"
// "DOTA_Tooltip_ability_drow_ranger_trueshot_radius"                             "RADIUS:"

"DOTA_Tooltip_ability_drow_ranger_innate_oaa"                                   "#{DOTA_Tooltip_ability_drow_ranger_trueshot}"
"DOTA_Tooltip_ability_drow_ranger_innate_oaa_Description"                       "Grants Drow bonus agility based on Drow's current agility and level."
"DOTA_Tooltip_ability_drow_ranger_innate_oaa_Lore"                              "#{DOTA_Tooltip_ability_drow_ranger_trueshot_Lore}"
"DOTA_Tooltip_ability_drow_ranger_innate_oaa_trueshot_agi_bonus_self"           "#{DOTA_Tooltip_ability_drow_ranger_trueshot_trueshot_agi_bonus_per_level}"
"DOTA_Tooltip_ability_drow_ranger_innate_oaa_trueshot_agi_bonus_allies"         "%ALLY AGILITY BONUS PER LEVEL:"
"DOTA_Tooltip_ability_drow_ranger_innate_oaa_radius"                            "#{DOTA_Tooltip_ability_drow_ranger_trueshot_radius}"

"DOTA_Tooltip_modifier_drow_ranger_innate_oaa_aura_effect"                      "#{DOTA_Tooltip_ability_drow_ranger_trueshot}"
"DOTA_Tooltip_modifier_drow_ranger_innate_oaa_aura_effect_Description"          "Bonus %dMODIFIER_PROPERTY_TOOLTIP% Agility."

