//=============================================================================
// Enigma Demonic Conversion
//=============================================================================
// "DOTA_Tooltip_ability_enigma_demonic_conversion"                               "Demonic Conversion"
// "DOTA_Tooltip_ability_enigma_demonic_conversion_Description"                   "Transforms a creep into three fragments of Enigma himself.  These eidolons are all under Enigma's control, and repeated successful attacks cause them to multiply.  When this happens, the eidolons have their health restored."
// "DOTA_Tooltip_ability_enigma_demonic_conversion_Description"                   "Summons three fragments of Enigma himself at the cost of health. These eidolons are all under Enigma's control, and repeated successful attacks cause them to multiply.  When this happens, the eidolons have their health restored."
// "DOTA_Tooltip_ability_enigma_demonic_conversion_Lore"                          "Enigma is capable of drawing aspects of himself from other dimensions - the result is a trio of dark eidolons that hunt the corporeal plane."
// "DOTA_Tooltip_ability_enigma_demonic_conversion_Note0"                         "Converted enemy units will give gold bounty and experience."
// "DOTA_Tooltip_ability_enigma_demonic_conversion_Note1"                         "Converted allied units will be denied."
// "DOTA_Tooltip_ability_enigma_demonic_conversion_Note2"                         "Cannot be used on Ancient creeps or neutral creeps that are greater than level 4."
// "DOTA_Tooltip_ability_enigma_demonic_conversion_Note3"                         "Cannot be used on allied Flagbearer creeps."
// "DOTA_Tooltip_ability_enigma_demonic_conversion_split_attack_count"            "ATTACKS TO MULTIPLY:"
// "DOTA_Tooltip_ability_enigma_demonic_conversion_spawn_count"                   "SPAWN COUNT:"
// "DOTA_Tooltip_ability_enigma_demonic_conversion_abilityduration"               "DURATION:"
// "DOTA_Tooltip_ability_enigma_demonic_conversion_eidelon_max_health"            "EIDOLON HP:"
// "DOTA_Tooltip_ability_enigma_demonic_conversion_eidelon_base_damage"           "EIDOLON DAMAGE:"
// "DOTA_Tooltip_ability_enigma_demonic_conversion_eidolon_magic_resist"          "%EIDOLON MAGIC RESISTANCE:"
// "DOTA_Tooltip_ability_enigma_demonic_conversion_eidolon_attack_range"          "EIDOLON ATTACK RANGE:"

"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa"                            "#{DOTA_Tooltip_ability_enigma_demonic_conversion}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_Description"                "#{DOTA_Tooltip_ability_enigma_demonic_conversion_Description}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_Lore"                       "#{DOTA_Tooltip_ability_enigma_demonic_conversion_Lore}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_split_attack_count"         "#{DOTA_Tooltip_ability_enigma_demonic_conversion_split_attack_count}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_spawn_count"                "#{DOTA_Tooltip_ability_enigma_demonic_conversion_spawn_count}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_duration"                   "#{DOTA_Tooltip_ability_enigma_demonic_conversion_abilityduration}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_eidelon_max_health"         "#{DOTA_Tooltip_ability_enigma_demonic_conversion_eidelon_max_health}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_eidolon_dmg_tooltip"        "#{DOTA_Tooltip_ability_enigma_demonic_conversion_eidelon_base_damage}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_eidolon_magic_resist"       "#{DOTA_Tooltip_ability_enigma_demonic_conversion_eidolon_magic_resist}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_eidolon_attack_range"       "#{DOTA_Tooltip_ability_enigma_demonic_conversion_eidolon_attack_range}"
"DOTA_Tooltip_ability_enigma_demonic_conversion_oaa_eidelon_base_movespeed"     "EIDOLON MOVE SPEED:"
