//=============================================================================
// Furion Force of Nature
//=============================================================================
// "DOTA_Tooltip_ability_furion_force_of_nature"                                  "Nature's Call"
// "DOTA_Tooltip_ability_furion_force_of_nature_Description"                      "Converts an area of trees into Treants under the command of Nature's Prophet."
// "DOTA_Tooltip_ability_furion_force_of_nature_Lore"                             "Verodicia bestowed the Prophet with the ability to summon the Treant Guard, a mythical sentient army of the wild."
// "DOTA_Tooltip_ability_furion_force_of_nature_Note0"                            "Nature's Call can only create as many treants as there are trees in the target area."
// "DOTA_Tooltip_ability_furion_force_of_nature_treant_duration"                  "TREANT DURATION:"
// "DOTA_Tooltip_ability_furion_force_of_nature_max_treants"                      "TREANT COUNT:"
// "DOTA_Tooltip_ability_furion_force_of_nature_treant_health"                    "TREANT HEALTH:"
// "DOTA_Tooltip_ability_furion_force_of_nature_treant_damage_max"                "TREANT DAMAGE:"

"DOTA_Tooltip_Ability_furion_force_of_nature_oaa"                               "#{DOTA_Tooltip_ability_furion_force_of_nature}"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_Description"                   "#{DOTA_Tooltip_ability_furion_force_of_nature_Description}"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_Lore"                          "#{DOTA_Tooltip_ability_furion_force_of_nature_Lore}"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_Note0"                         "#{DOTA_Tooltip_ability_furion_force_of_nature_Note0}"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_duration"                      "#{DOTA_Tooltip_ability_furion_force_of_nature_treant_duration}"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_treant_health"                 "#{DOTA_Tooltip_ability_furion_force_of_nature_treant_health}"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_treant_damage"                 "#{DOTA_Tooltip_ability_furion_force_of_nature_treant_damage}"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_treant_armor"                  "TREANT ARMOR:"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_treant_move_speed"             "TREANT MOVE SPEED:"
"DOTA_Tooltip_Ability_furion_force_of_nature_oaa_max_treants"                   "#{DOTA_Tooltip_ability_furion_force_of_nature_max_treants}"

"Dota_Tooltip_Ability_special_bonus_unique_furion_1_oaa"                        "{s:value}x Treant HP/Damage"
