//=============================================================================
// Furion Wrath of Nature
//=============================================================================
// "DOTA_Tooltip_ability_furion_wrath_of_nature"                                  "Wrath of Nature"
// "DOTA_Tooltip_ability_furion_wrath_of_nature_Description"                      "Damaging energy bounces around the map, striking enemies close to the cast point that are in vision. Each enemy hit beyond the first adds damage. Enemies that die under this spell grant you bonus damage for %kill_damage_duration% seconds."
// "DOTA_Tooltip_ability_furion_wrath_of_nature_scepter_description"              "Lowers cooldown to %scepter_cooldown%s. Entangles all enemies it hits. Duration scales from %scepter_min_entangle_duration%s up to %scepter_max_entangle_duration%s seconds at max bounce."
// "DOTA_Tooltip_ability_furion_wrath_of_nature_Lore"                             "Nature's Prophet calls Verodicia's fury to strike down those who might ravage the wilderness."
// "DOTA_Tooltip_ability_furion_wrath_of_nature_Note0"                            "Wrath of Nature will not hit units out of vision."
// "DOTA_Tooltip_ability_furion_wrath_of_nature_Note1"                            "Can be cast through the minimap; the nearest valid target will be selected."
// "DOTA_Tooltip_ability_furion_wrath_of_nature_max_targets"                      "MAX TARGETS:"
// "DOTA_Tooltip_ability_furion_wrath_of_nature_damage"                           "DAMAGE:"
// "DOTA_Tooltip_ability_furion_wrath_of_nature_damage_percent_add"               "%ADDED DAMAGE PER BOUNCE:"
// "DOTA_Tooltip_ability_furion_wrath_of_nature_kill_damage"                      "BONUS DAMAGE PER UNIT:"
// "DOTA_Tooltip_ability_furion_wrath_of_nature_kill_damage_duration"             "BONUS DAMAGE DURATION:"

// "DOTA_Tooltip_modifier_furion_wrathofnature_spawn"                             "Wrath of Nature"
// "DOTA_Tooltip_modifier_furion_wrathofnature_spawn_Description"                 "Will spawn a treant if killed."

// "DOTA_Tooltip_modifier_furion_wrathofnature_buff_counter"                      "Wrath of Nature"
// "DOTA_Tooltip_modifier_furion_wrathofnature_buff_counter_Description"          "Receiving %dMODIFIER_PROPERTY_TOOLTIP% bonus damage."
// "DOTA_Tooltip_modifier_furion_sprout_entangle"                                 "Wrath of Nature"
// "DOTA_Tooltip_modifier_furion_sprout_entangle_Description"                     "Rooted."

"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa"                               "#{DOTA_Tooltip_ability_furion_wrath_of_nature}"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_Description"                   "#{DOTA_Tooltip_ability_furion_wrath_of_nature_Description}\n<font color='#FFA500'>Wrath of Nature will always hit all visible heroes for at least %damage% damage.</font>"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_Lore"                          "#{DOTA_Tooltip_ability_furion_wrath_of_nature_Lore}"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_Note0"                         "#{DOTA_Tooltip_ability_furion_wrath_of_nature_Note0}"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_max_targets"                   "#{DOTA_Tooltip_ability_furion_wrath_of_nature_max_targets}"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_damage"                        "BASE DAMAGE:"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_damage_percent_add"            "#{DOTA_Tooltip_ability_furion_wrath_of_nature_damage_percent_add}"
//"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_kill_damage"                   "BONUS ATTACK DAMAGE PER UNIT:"
//"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_kill_damage_duration"          "BONUS ATTACK DAMAGE DURATION:"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_scepter_description"           "<font color='#FFA500'>Increases damage.</font> Entangles all enemies it hits. Duration scales from %scepter_min_root_duration%s up to %scepter_max_root_duration%s seconds at max bounce. <font color='#FFA500'>If a hero is killed by Wrath of Nature, or within %scepter_buffer% seconds thereafter, a Greater Treant will spawn, which has more health and damage than a normal treant.</font>"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_scepter_min_root_duration"     "MIN ROOT DURATION:"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_scepter_max_root_duration"     "MAX ROOT DURATION:"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_damage_scepter"                "SCEPTER DAMAGE:"
"DOTA_Tooltip_ability_furion_wrath_of_nature_oaa_scepter_buffer"                "SCEPTER TREANT SPAWN TIMER:"

//"DOTA_Tooltip_modifier_furion_wrath_of_nature_kill_damage_counter"              "Wrath of Nature Bonus Damage"
//"DOTA_Tooltip_modifier_furion_wrath_of_nature_kill_damage_counter_Description"  "Receiving %dMODIFIER_PROPERTY_TOOLTIP% bonus damage."

"DOTA_Tooltip_modifier_furion_wrath_of_nature_scepter_root_oaa"                 "Wrath of Nature Root"
"DOTA_Tooltip_modifier_furion_wrath_of_nature_scepter_root_oaa_Description"     "Rooted."
