"DOTA_Tooltip_ability_invoker_quas_scepter_description"                         "Grants %scepter_bonus_levels% level. <font color='#FFA500'>Does not increase max level!</font>"
"DOTA_Tooltip_ability_invoker_quas_facet_invoker_quas_focus"                    "When Invoker reaches level 6, <font color='#7998b5'>Quas</font> gains an additional level. <font color='#FFA500'>Does not increase max level!</font>"

"DOTA_Tooltip_ability_invoker_wex_scepter_description"                          "Grants %scepter_bonus_levels% level. <font color='#FFA500'>Does not increase max level!</font>"
"DOTA_Tooltip_ability_invoker_wex_facet_invoker_wex_focus"                      "When Invoker reaches level 6, <font color='#d671a9'>Wex</font> gains an additional level. <font color='#FFA500'>Does not increase max level!</font>"

"DOTA_Tooltip_ability_invoker_exort_scepter_description"                        "Grants %scepter_bonus_levels% level. <font color='#FFA500'>Does not increase max level!</font>"
"DOTA_Tooltip_ability_invoker_exort_facet_invoker_exort_focus"                  "When Invoker reaches level 6, <font color='#cabe68'>Exort</font> gains an additional level. <font color='#FFA500'>Does not increase max level!</font>"

//"DOTA_Tooltip_Facet_invoker_quas_focus"                                         "Scholar of Koryx"
"DOTA_Tooltip_Facet_invoker_quas_focus_Description"                             "When Invoker reaches level 6, <font color='#7998b5'>Quas</font> gains an additional level.<br><br><font color='#92acf5'>Aghanim's Scepter</font> upgrades <b>Ice Wall</b>.<br><br><font color='#92acf5'>Aghanim's Shard</font> upgrades <b>Ghost Walk</b>."
//"DOTA_Tooltip_Facet_invoker_wex_focus"                                          "Mind of Tornarus"
"DOTA_Tooltip_Facet_invoker_wex_focus_Description"                              "When Invoker reaches level 6, <font color='#d671a9'>Wex</font> gains an additional level.<br><br><font color='#92acf5'>Aghanim's Scepter</font> upgrades <b>Tornado</b>.<br><br><font color='#92acf5'>Aghanim's Shard</font> upgrades <b>E.M.P.</b>"
//"DOTA_Tooltip_Facet_invoker_exort_focus"                                        "Agent of Gallaron"
"DOTA_Tooltip_Facet_invoker_exort_focus_Description"                            "When Invoker reaches level 6, <font color='#cabe68'>Exort</font> gains an additional level.<br><br><font color='#92acf5'>Aghanim's Scepter</font> upgrades <b>Sun Strike</b>.<br><br><font color='#92acf5'>Aghanim's Shard</font> upgrades <b>Sun Strike</b>."
