"DOTA_Tooltip_Ability_mini_rosh_passives"                                       "Tenacity"
"DOTA_Tooltip_Ability_mini_rosh_passives_Description"                           "This creature has bonus status resistance, bonus armor aura, and it will block one targeted spell every 15 seconds."
"DOTA_Tooltip_Ability_mini_rosh_passives_Note0"                                 "Spell Block doesn't work if dominated but it works on Doom. Spell Block can be disabled with Break."
"DOTA_Tooltip_Ability_mini_rosh_passives_Note1"                                 "Aura is not bestowed when the aura source is on the neutral team. Aura can be disabled with Break."
"DOTA_Tooltip_Ability_mini_rosh_passives_Note2"                                 "Bonus status resist doesn't work on Doom."
"DOTA_Tooltip_Ability_mini_rosh_passives_bonus_status_resistance"               "%BONUS STATUS RESIST:"
"DOTA_Tooltip_Ability_mini_rosh_passives_aura_bonus_armor"                      "AURA BONUS ARMOR:"
"DOTA_Tooltip_Ability_mini_rosh_passives_aura_radius"                           "AURA RADIUS:"

"DOTA_Tooltip_Ability_mini_rosh_root"                                           "Root"
"DOTA_Tooltip_Ability_mini_rosh_root_Description"                               "This creature has a chance to root and deal bonus damage on attack. Goes on cooldown when it procs."
"DOTA_Tooltip_Ability_mini_rosh_root_root_chance"                               "%ROOT CHANCE:"
"DOTA_Tooltip_Ability_mini_rosh_root_bonus_damage"                              "BONUS DAMAGE:"
"DOTA_Tooltip_Ability_mini_rosh_root_root_duration"                             "ROOT DURATION:"

"DOTA_Tooltip_modifier_mini_rosh_aura_effect"                                   "Tenacity Aura"
"DOTA_Tooltip_modifier_mini_rosh_aura_effect_Description"                       "Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"DOTA_Tooltip_modifier_mini_rosh_root_effect"                                   "Rooted"
"DOTA_Tooltip_modifier_mini_rosh_root_effect_Description"                       "Cannot move, use blink or reposition abilities."

