//=============================================================================
// Tiny Grow
//=============================================================================
"DOTA_Tooltip_Ability_tiny_grow_oaa"                                "Grow"
"DOTA_Tooltip_Ability_tiny_grow_oaa_Description"                    "Tiny gains craggy mass that increases his power at the cost of his attack speed. Increases Tossed unit damage and improves movement speed.\n\nUpgradable by Aghanim's Scepter."
"DOTA_Tooltip_Ability_tiny_grow_oaa_Lore"                           "Watching a hill become a mountain is awe-inspiring - especially if the mountain begins laying waste to adversaries."
"DOTA_Tooltip_Ability_tiny_grow_oaa_Note0"                          "Cleave damage is reduced by armor type but not by armor value."
"DOTA_Tooltip_Ability_tiny_grow_oaa_Note1"                          "Cleave damage goes through spell immunity."
"DOTA_Tooltip_Ability_tiny_grow_oaa_Note2"                          "Scepter bonus damage does not affect buildings under backdoor protection."
"DOTA_Tooltip_Ability_tiny_grow_oaa_bonus_damage"                   "BONUS DAMAGE:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_bonus_attack_speed"             "ATTACK SPEED LOSS:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_bonus_movement_speed"           "ADDED MOVE SPEED:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_grow_bonus_damage_pct"          "%TOSS BONUS:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_bonus_range_scepter"            "SCEPTER BONUS RANGE:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_bonus_cleave_damage_scepter"    "%SCEPTER CLEAVE DAMAGE:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_bonus_building_damage_scepter"  "%SCEPTER BONUS BUILDING DAMAGE:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_grow_bonus_damage_pct_scepter"  "%SCEPTER TOSS BONUS:"
"DOTA_Tooltip_Ability_tiny_grow_oaa_aghanim_description"            "Allows Tiny to equip a tree, increasing his attack range, damage versus buildings, and granting a cleave attack.  Improves Tossed unit damage."
