//=============================================================================
// Witch Doctor Death Ward OAA
//=============================================================================
// "DOTA_Tooltip_ability_witch_doctor_death_ward"                                 "Death Ward"
// "DOTA_Tooltip_ability_witch_doctor_death_ward_Description"                     "CHANNELED - Summons a deadly ward to attack enemy heroes within its attack range. Lasts a maximum of %abilitychanneltime% seconds."
// "DOTA_Tooltip_ability_witch_doctor_death_ward_scepter_description"             "Death Ward attacks have True Strike and bounce between nearby enemies."
// "DOTA_Tooltip_ability_witch_doctor_death_ward_Lore"                            "Witch Doctor performs a ritualistic dance, one that haunts the dreams of those who live to recount it."
// "DOTA_Tooltip_ability_witch_doctor_death_ward_Note0"                           "The Death Ward is invulnerable, and is only destroyed if Witch Doctor is interrupted or its duration expires."
// "DOTA_Tooltip_ability_witch_doctor_death_ward_Note1"                           "The Death Ward can be controlled, and made to attack a specific target."
// "DOTA_Tooltip_ability_witch_doctor_death_ward_Note2"                           "Death Ward attacks once every 0.22 seconds."
// "DOTA_Tooltip_ability_witch_doctor_death_ward_damage"                          "DAMAGE:"
// "DOTA_Tooltip_ability_witch_doctor_death_ward_attack_range_tooltip"            "ATTACK RANGE:"

// "DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo"                          "Voodoo Switcheroo"
// "DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_Description"              "Turns Witch Doctor into a Death Ward briefly with reduced attack speed. He is hidden during this time"
// "DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_duration"                 "DURATION:"

"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa"                              "#{DOTA_Tooltip_ability_witch_doctor_death_ward}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_Description"                  "CHANNELED - Summons a deadly ward to attack enemy heroes within its attack range. Lasts a maximum of %abilitychanneltime% seconds. \n<font color='#FFA500'>Can attack hero creeps and bosses. Spell amplification can increase the damage.</font>"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_scepter_description"          "#{DOTA_Tooltip_ability_witch_doctor_death_ward_scepter_description}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_Lore"                         "#{DOTA_Tooltip_ability_witch_doctor_death_ward_Lore}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_Note0"                        "#{DOTA_Tooltip_ability_witch_doctor_death_ward_Note0}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_Note1"                        "#{DOTA_Tooltip_ability_witch_doctor_death_ward_Note1}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_Note2"                        "#{DOTA_Tooltip_ability_witch_doctor_death_ward_Note2}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_ward_damage"                  "#{DOTA_Tooltip_ability_witch_doctor_death_ward_damage}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_ward_attack_range"            "#{DOTA_Tooltip_ability_witch_doctor_death_ward_attack_range_tooltip}"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_scepter_bounce_radius"        "SCEPTER BOUNCE RADIUS:"
"DOTA_Tooltip_ability_witch_doctor_death_ward_oaa_shard_description"            "Grants Voodoo Switcheroo ability."

"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa"                       "#{DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo}"
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_Description"           "#{DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_Description}"
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_Lore"                  "Death Ward without the Witch Doctor dance."
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_Note0"                 "Voodoo Switcheroo is dispellable."
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_duration"              "#{DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_duration}"
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_ward_damage"           "#{DOTA_Tooltip_ability_witch_doctor_death_ward_damage}"
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_ward_attack_range"     "#{DOTA_Tooltip_ability_witch_doctor_death_ward_attack_range_tooltip}"
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_ward_attack_speed_penalty"  "WARD ATTACK SPEED PENALTY:"
"DOTA_Tooltip_ability_witch_doctor_voodoo_switcheroo_oaa_scepter_bounce_radius"  "SCEPTER BOUNCE RADIUS:"

"npc_dota_witch_doctor_death_ward_oaa"                                          "#{DOTA_Tooltip_ability_witch_doctor_death_ward}"
