//=============================================================================
// Shivas Cuirass Aura
//=============================================================================
"DOTA_Tooltip_modifier_item_shivas_cuirass_aura"               "Shivas Cuirass Aura"
"DOTA_Tooltip_modifier_item_shivas_cuirass_aura_Description"   "Armor changed by %-dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%. Attack speed changed by %-dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

"DOTA_Tooltip_modifier_item_shivas_cuirass_negative_armor"                      "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_positive"                            "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_positive_Description"                "Armor enhanced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nAttack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"DOTA_Tooltip_modifier_item_shivas_cuirass_positive_buildings"                  "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_positive_buildings_Description"      "Armor enhanced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"DOTA_Tooltip_modifier_item_shivas_cuirass_negative_buildings_aura"             "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_negative_buildings_aura_Description" "Armor decreased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"DOTA_Tooltip_modifier_item_shivas_cuirass_2_negative_armor"                    "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_2_positive"                          "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_2_positive_Description"              "Armor enhanced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nAttack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"DOTA_Tooltip_modifier_item_shivas_cuirass_2_positive_buildings"                "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_2_positive_buildings_Description"    "Armor enhanced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"DOTA_Tooltip_modifier_item_shivas_cuirass_2_negative_buildings_aura"           "Assault Cuirass"
"DOTA_Tooltip_modifier_item_shivas_cuirass_2_negative_buildings_aura_Description"   "Armor decreased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

