"DOTA_Tooltip_modifier_spark_cleave"                                            "Cleave Spark"
"DOTA_Tooltip_modifier_spark_cleave_Description"                                "Deals 30%% of attack damage as physical damage to up to 4 random neutral creeps in 400 radius around the attacked target." // 50%% more gold from killing neutral creeps.

"DOTA_Tooltip_modifier_spark_gpm"                                               "GPM Spark"
//"DOTA_Tooltip_modifier_spark_gpm_Description"                                   "Grants %dMODIFIER_PROPERTY_TOOLTIP% gold per minute."

"DOTA_Tooltip_modifier_spark_midas"                                             "Support Spark"
"DOTA_Tooltip_modifier_spark_midas_Description"                                 "Generates 2 charges every second. At 100 charges, your next attack on a non-ancient neutral creep will instantly kill it for %dMODIFIER_PROPERTY_TOOLTIP%%% extra experience."

"DOTA_Tooltip_modifier_spark_power"                                             "Power Spark (Hero)"
"DOTA_Tooltip_modifier_spark_power_Description"                                 "Bonus pure damage and damage block against neutral creeps. Affects illusions and summons you control." // 75%% more gold from killing neutral creeps.

"DOTA_Tooltip_modifier_spark_power_effect"                                      "Power Spark"
"DOTA_Tooltip_modifier_spark_power_effect_Description"                          "Bonus %dMODIFIER_PROPERTY_TOOLTIP% pure damage against neutral creeps and 75%% chance to block %dMODIFIER_PROPERTY_TOOLTIP2% damage from neutral creeps." // 75%% more gold from killing neutral creeps.

//"DOTA_Tooltip_modifier_spark_xp"                                                "XP Spark"
//"DOTA_Tooltip_modifier_spark_gold"                                              "Gold Spark"
