
// Lycan Boss summons
"npc_dota_creature_dire_hound"                                                  "Dire Hound"
"npc_dota_creature_dire_hound_boss"                                             "Alpha Dire Hound"
"npc_dota_creature_werewolf"                                                    "Werewolf"
"npc_dota_creature_dire_hound_boss_tier5"                                       "Uber Alpha Hound"
"npc_dota_creature_dire_hound_tier5"                                            "Uber Hound"
"npc_dota_creature_werewolf_tier5"                                              "Uber Werewolf"

// Ogre Tank Boss summons
"npc_dota_creature_ogre_seer"                                                   "Ogre Seer"
"npc_dota_creature_ogre_seer_tier5"                                             "Uber Seer"

// Spider Boss summons
"npc_dota_boss_spiders_spider"                                                  "Baneling"
"npc_dota_boss_spiders_spiderball"                                              "Spider Cocoon"
// "npc_dota_creature_spider_small"                                               "Silkmire Swarmer"
// "npc_dota_creature_spider_medium"                                              "Silkmire Spitter"
// "npc_dota_creature_small_lycosidae"                                            "Ankaboot's Brood"
// "npc_dota_spider_sack"                                                         "Pulsing Egg Sack"
// "npc_dota_spider_web"                                                          "Silkmire Steel"

// Alchemist summons
"npc_dota_boss_spiders_explosive"                                               "Explosive"

// Magma Boss summons
"npc_dota_magma_boss_volcano"                                                   "Magma Totem"

// Dire safelane summons
"npc_dota_creature_melee_stolen_creep"                                          "Radiant Warrior"
"npc_dota_creature_melee_wave1_creep"                                           "Dire Warrior"
"npc_dota_creature_melee_wave2_creep"                                           "Dire Super"
"npc_dota_creature_melee_wave3_creep"                                           "Dire Mega"
"npc_dota_creature_ranged_stolen_creep"                                         "Radiant Priest"
"npc_dota_creature_ranged_wave1_creep"                                          "Dire Priest"
"npc_dota_creature_ranged_wave2_creep"                                          "Dire High Priest"
"npc_dota_creature_ranged_wave3_creep"                                          "Dire Archpriest"
"npc_dota_creature_siege_stolen_creep"                                          "Radiant Catapult"
"npc_dota_creature_siege_wave1_creep"                                           "Dire Catapult"
"npc_dota_creature_siege_wave2_creep"                                           "Dire Onager"
"npc_dota_creature_siege_wave3_creep"                                           "Dire Mangonel"

// Temple Guardian summons
"npc_dota_creature_pedestal"                                                    "Temple Pedestal"

// Charger summons
"npc_dota_boss_pillar_charger_oaa"                                              "Pillar"
