//=====================================================================================
//  BOSSES
//=====================================================================================
"npc_dota_boss_tier_1"                                                          "Roshan"
"npc_dota_boss_tier_2"                                                          "Butterface"
"npc_dota_boss_tier_3"                                                          "Shrek"
"npc_dota_boss_tier_4"                                                          "Killer Tomato"
"npc_dota_boss_tier_5"                                                          "Big Bird"
"npc_dota_boss_tier_6"                                                          "Spooky Ghost"

"npc_dota_boss_charger"                                                         "Charger"
"npc_dota_boss_shielder"                                                        "Ambriel the Shielded"
"npc_dota_boss_stopfightingyourself"                                            "Uriel the Mirror of Creation"
"npc_dota_boss_twin"                                                            "Zadkiel"
"npc_dota_boss_twin_dumb"                                                       "Jophiel"
"npc_dota_creature_slime_spawner"                                               "Slime Spawner"
"npc_dota_boss_slime"                                                           "Slime"
"npc_dota_boss_carapace"                                                        "Carapace"
"npc_dota_boss_swiper"                                                          "Swiper"
"npc_dota_creature_tormentor_boss"                                              "Tormentor"

"npc_dota_boss_simple_1"                                                        "Skelly"
"npc_dota_boss_simple_2"                                                        "Alfredo"
"npc_dota_boss_simple_3"                                                        "Tideybowl"
"npc_dota_boss_simple_5"                                                        "Battle Fury"
"npc_dota_boss_simple_6"                                                        "Jingu Banger"
"npc_dota_boss_simple_7"                                                        "Solus"

"npc_dota_creature_ogre_tank_boss"                                              "Bogdugg"
"npc_dota_creature_lycan_boss"                                                  "Lucius Longclaw"
"npc_dota_creature_spider_boss"                                                 "Ankaboot"
"npc_dota_creature_temple_guardian"                                             "Temple Guardian"
"npc_dota_creature_temple_guardian_spawner"                                     "Temple Spawner"
"npc_dota_boss_spiders"                                                         "Second Day Alchemist"
"npc_dota_boss_spiders_explosive"                                               "Explosive"
"npc_dota_boss_spiders_spider"                                                  "Baneling"
"npc_dota_boss_spiders_spiderball"                                              "Spider Cocoon"
"npc_dota_creature_magma_boss"                                                  "Magmus"
"npc_dota_magma_boss_volcano"                                                   "Magma Totem"
"npc_dota_creature_dire_tower_boss"                                             "Dire Safelane Tower"
"npc_dota_creature_melee_stolen_creep"                                          "Radiant Warrior"
"npc_dota_creature_melee_wave1_creep"                                           "Dire Warrior"
"npc_dota_creature_melee_wave2_creep"                                           "Dire Super"
"npc_dota_creature_melee_wave3_creep"                                           "Dire Mega"
"npc_dota_creature_ranged_stolen_creep"                                         "Radiant Priest"
"npc_dota_creature_ranged_wave1_creep"                                          "Dire Priest"
"npc_dota_creature_ranged_wave2_creep"                                          "Dire High Priest"
"npc_dota_creature_ranged_wave3_creep"                                          "Dire Archpriest"
"npc_dota_creature_siege_stolen_creep"                                          "Radiant Catapult"
"npc_dota_creature_siege_wave1_creep"                                           "Dire Catapult"
"npc_dota_creature_siege_wave2_creep"                                           "Dire Onager"
"npc_dota_creature_siege_wave3_creep"                                           "Dire Mangonel"

"npc_dota_boss_charger_tier5"                                                   "Uber Charger"
"npc_dota_boss_shielder_tier5"                                                  "Uber Ambriel"
"npc_dota_boss_simple_1_tier5"                                                  "Uber Skelly"
"npc_dota_boss_simple_2_tier5"                                                  "Uber Alfredo"
"npc_dota_boss_simple_5_tier5"                                                  "Uber Fury"
"npc_dota_boss_stopfightingyourself_tier5"                                      "Uber Uriel"
"npc_dota_boss_tier_1_tier5"                                                    "Uber Roshan"
"npc_dota_boss_twin_dumb_tier5"                                                 "Uber Jophiel"
"npc_dota_boss_twin_tier5"                                                      "Uber Zadkiel"
"npc_dota_creature_lycan_boss_tier5"                                            "Uber Lucius"
"npc_dota_creature_ogre_tank_boss_tier5"                                        "Uber Bogdugg"
"npc_dota_creature_spider_boss_tier5"                                           "Uber Ankaboot"
"npc_dota_creature_temple_guardian_tier5"                                       "Uber Guardian"
"npc_dota_creature_temple_guardian_spawner_tier5"                               "Temple Spawner"

"npc_dota_boss_grendel"                                                         "Grendel"
