//=====================================================================================
//  BUILDINGS
//=====================================================================================
"dota_fountain"                                                         "Fountain"
"npc_dota_punching_bag"                                                 "Punching Bag"

"minimap_boss_tier1"                                                    "Tier1 Boss Minimap Camp"
"minimap_boss_tier2"                                                    "Tier2 Minimap Camp"
"minimap_boss_tier3"                                                    "Tier3 Minimap Camp"
"minimap_boss_tier4"                                                    "Tier4 Minimap Camp"
"minimap_boss_tier5"                                                    "Tier5 Minimap Camp"

"minimap_ancient_camp"                                                  "Ancient Minimap Camp"
"minimap_hard_camp"                                                     "Hard Minimap Camp"
"minimap_medium_camp"                                                   "Medium Minimap Camp"
"minimap_small_camp"                                                    "Small Minimap Camp"
"minimap_capture_point"                                                 "Capture point"

"npc_dota_creature_pedestal"                                            "Temple Pedestal"

"npc_dota_bottle_statue_radiant"                                        "Radiant Championship Statue"
"npc_dota_bottle_statue_dire"                                           "Dire Championship Statue"

"npc_dota_good_tinytower1_mid"                                          "Radiant Tower"
