//=====================================================================================
//  HEROES
//=====================================================================================

"npc_dota_hero_dummy_dummy"                                                     "Shit's Broke, Yo"


"DOTA_Tooltip_facet_nyx_assassin_burn_mana"                             "#{DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn}"
"DOTA_Tooltip_facet_nyx_assassin_burn_mana_Description"                 "Nyx's damage from spells burns enemies' mana.\n<font color='#FFA500'>Items do not trigger mana burn.</font>"
"DOTA_Tooltip_facet_nyx_assassin_burn_mana_mana_pct"                    "#{DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_mana_pct}"
"DOTA_Tooltip_facet_nyx_assassin_burn_mana_Note0"                       "#{DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_Note0}"


"DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_oaa"                            "#{DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn}"
"DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_oaa_Description"                "#{DOTA_Tooltip_facet_nyx_assassin_burn_mana_Description}"
"DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_oaa_mana_pct"                   "#{DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_mana_pct}"
"DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_oaa_Note0"                      "#{DOTA_Tooltip_ability_nyx_assassin_innate_mana_burn_Note0}"

