"npc_dota_hero_bubble_witch"                                                    "Bubble Witch"

"DOTA_Tooltip_ability_bubble_witch_cavitation"                                  "Bubble Snare"
"DOTA_Tooltip_ability_bubble_witch_cavitation_Description"                      "Traps an enemy into a bubble and pushes them away from you. Enemies inside the bubble are disarmed and silenced and can only use non-mobility items. When bubble pops it will damage the enemy that was inside of it. Bubble pops when duration ends or when it's dispelled."
"DOTA_Tooltip_ability_bubble_witch_cavitation_Lore"                             "Boop!"
"DOTA_Tooltip_ability_bubble_witch_cavitation_damage"                           "DAMAGE:"
"DOTA_Tooltip_ability_bubble_witch_cavitation_debuff_duration"                  "DURATION:"
"DOTA_Tooltip_ability_bubble_witch_cavitation_knockback_distance"               "PUSH DISTANCE:"
"DOTA_Tooltip_ability_bubble_witch_cavitation_knockback_speed"                  "PUSH SPEED:"

"DOTA_Tooltip_modifier_bubble_witch_cavitation_debuff"                          "Bubble Snare"
"DOTA_Tooltip_modifier_bubble_witch_cavitation_debuff_Description"              "Disarmed, Silenced and Leashed."

"DOTA_Tooltip_ability_bubble_witch_magic_bubble"                                "Magic Bubble"
"DOTA_Tooltip_ability_bubble_witch_magic_bubble_Description"                    "Puts the ally inside of the bubble that grants them free-pathing at the cost of reduced move speed. When bubble pops it will deal damage to all enemies around the ally. Damage is based on the damage taken from enemies while the ally was inside of the bubble. Bubble pops when duration ends or when it's dispelled."
"DOTA_Tooltip_ability_bubble_witch_magic_bubble_duration"                       "DURATION:"
"DOTA_Tooltip_ability_bubble_witch_magic_bubble_move_speed_reduction"           "%MOVE SPEED PENALTY:"
//"DOTA_Tooltip_ability_bubble_witch_magic_bubble_base_dmg"                       "BASE POP DAMAGE:"
"DOTA_Tooltip_ability_bubble_witch_magic_bubble_damage_taken_as_explode_damage"  "%DAMAGE TAKEN AS POP DAMAGE:"
"DOTA_Tooltip_ability_bubble_witch_magic_bubble_explode_damage_cap"             "MAX POP DAMAGE:"
"DOTA_Tooltip_ability_bubble_witch_magic_bubble_explode_dmg_radius"             "POP DAMAGE RADIUS:"
"DOTA_Tooltip_ability_bubble_witch_magic_bubble_shard_description"              "Magic Bubble applies a basic dispel to the target."

