"npc_dota_hero_electrician"                                                     "Chatterjee"
"npc_dota_hero_electrician_hype"                                                "Wielding a powerful generator and spanner, #{npc_dota_hero_electrician} can engineer any fight in her favour, by using electricity to boost allies and hinder her enemies."

"DOTA_Tooltip_Ability_electrician_static_grip"                                  "Static Grip"
"DOTA_Tooltip_Ability_electrician_static_grip_Description"                      "CHANNELED - Creates a magnetic link towards an enemy that stuns and reveals. All enemies near the link will take damage over time."
"DOTA_Tooltip_Ability_electrician_static_grip_Lore"                             "#{npc_dota_hero_electrician}'s thunderous, boisterous energy often pulls her into an electrifying situation."
"DOTA_Tooltip_Ability_electrician_static_grip_channel_time"                     "MAX CHANNEL TIME:"
"DOTA_Tooltip_Ability_electrician_static_grip_damage_per_second"                "DAMAGE PER SECOND:"
//"DOTA_Tooltip_Ability_electrician_static_grip_Note1"                            "The link will break if the target is moved over 750 distance away from #{npc_dota_hero_electrician}."
"DOTA_Tooltip_Ability_electrician_static_grip_Facet_electrician_kinetic_grip"   "#{npc_dota_hero_electrician} can act freely during Static Grip but silences and stuns can still stop Static Grip."
"DOTA_Tooltip_Ability_electrician_static_grip_Facet_electrician_alternating_current"  "#{npc_dota_hero_electrician} is pulled towards the target at a speed of 140 while the link holds."

"DOTA_Tooltip_Ability_electrician_electric_shield"                              "Electric Shield"
"DOTA_Tooltip_Ability_electrician_electric_shield_Description"                  "Converts up to %mana_cost%%% of #{npc_dota_hero_electrician}'s total mana pool into a shield that blocks incoming damage, fading if it sustains too much damage. While the shield holds, nearby enemies are damaged every second."
"DOTA_Tooltip_Ability_electrician_electric_shield_Lore"                         "Don't point spanners at me."
"DOTA_Tooltip_Ability_electrician_electric_shield_Note0"                        "Blocks any damage type. Blocks damage after all reductions."
"DOTA_Tooltip_Ability_electrician_electric_shield_shield_per_mana"              "SHIELD HP PER MANA:"
"DOTA_Tooltip_Ability_electrician_electric_shield_shield_damage_block"          "%SHIELD DAMAGE BLOCK:"
"DOTA_Tooltip_Ability_electrician_electric_shield_shield_duration"              "DURATION:"
"DOTA_Tooltip_Ability_electrician_electric_shield_aura_radius"                  "DAMAGE RADIUS:"
"DOTA_Tooltip_Ability_electrician_electric_shield_aura_damage"                  "DAMAGE PER SECOND:"
"DOTA_Tooltip_Ability_electrician_electric_shield_shard_description"            "When Electric Shield expires or is reapplied, refunds the cost of %mana_pct_refund%%% of the remaining shield."
//"DOTA_Tooltip_Ability_electrician_electric_shield_shard_shield_per_mana"        "SHARD SHIELD HP PER MANA:"
//"DOTA_Tooltip_Ability_electrician_electric_shield_shard_shield_damage_block"    "%SHARD SHIELD DAMAGE BLOCK:"
"DOTA_Tooltip_Ability_electrician_electric_shield_Facet_electrician_alternating_current"  "Grants Electric Shield damage as bonus attack damage but increases cooldown to %bonus_AbilityCooldown% and reduces duration to %bonus_shield_duration%."

"DOTA_Tooltip_Ability_electrician_energy_absorption"                            "Energy Absorption"
"DOTA_Tooltip_Ability_electrician_energy_absorption_Description"                "Forcefully draws energy from all nearby enemies, damaging them and absorbing their mana, movement and attack speed. If absorbed mana is higher than #{npc_dota_hero_electrician}'s mana pool, mana pool will be temporarily increased. Deals double damage against illusions."
"DOTA_Tooltip_Ability_electrician_energy_absorption_Lore"                       "Absorbing magic energies from everything that lives and turning it into an electric bomb."
"DOTA_Tooltip_Ability_electrician_energy_absorption_radius"                     "RADIUS:"
"DOTA_Tooltip_Ability_electrician_energy_absorption_damage"                     "DAMAGE:"
"DOTA_Tooltip_Ability_electrician_energy_absorption_mana_absorb_base"           "FLAT MANA ABSORBED:"
"DOTA_Tooltip_Ability_electrician_energy_absorption_mana_absorb_percentage"     "%CURRENT MANA ABSORBED:"
"DOTA_Tooltip_Ability_electrician_energy_absorption_speed_absorb_heroes"        "SPEED ABSORBED PER HERO:"
"DOTA_Tooltip_Ability_electrician_energy_absorption_speed_absorb_non_heroes"    "SPEED ABSORBED PER CREEP:"
"DOTA_Tooltip_Ability_electrician_energy_absorption_duration"                   "DURATION:"
"DOTA_Tooltip_Ability_electrician_energy_absorption_bonus_mana_cap"             "EXCESS MANA CAP:"

"DOTA_Tooltip_Ability_electrician_cleansing_shock"                              "Cleansing Shock"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_Description"                  "Strikes a unit with a purging bolt that removes most debuffs from an ally and grants them bonus movement and attack speed, or removes most buffs from an enemy and slows them. Both speed effects decay over their duration. Prioritizes heroes.\n\nDISPEL TYPE: Basic Dispel"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_Lore"                         "Zapping, cleansing, shocking. Pew pew."
"DOTA_Tooltip_Ability_electrician_cleansing_shock_duration"                     "DURATION:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_move_speed_bonus"             "%ALLY MOVE SPEED BONUS:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_attack_speed_bonus"           "ALLY ATTACK SPEED BONUS:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_move_slow"                    "%ENEMY MOVE SLOW:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_attack_slow"                  "ENEMY ATTACK SLOW:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_bounces"                      "BOUNCES:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_bounces_scepter"              "SCEPTER BOUNCES:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_bounce_range"                 "BOUNCE RANGE:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_summon_illusion_damage_scepter"  "SCEPTER SUMMON DAMAGE:"
//"DOTA_Tooltip_Ability_electrician_cleansing_shock_mana_cost_scepter"            "SCEPTER MANA COST:"
"DOTA_Tooltip_Ability_electrician_cleansing_shock_scepter_description"          "Increases number of bounces, always applies to caster and deals damage to summoned units and illusions."

// modifiers
"DOTA_Tooltip_modifier_electrician_static_grip"                                 "Static Grip"
"DOTA_Tooltip_modifier_electrician_static_grip_Description"                     "Stunned and taking damage over time."

"DOTA_Tooltip_modifier_electrician_electric_shield"                             "Electric Shield"
"DOTA_Tooltip_modifier_electrician_electric_shield_Description"                 "Absorbing damage taken, up to a limit. Dealing damage over time to nearby enemies."

"DOTA_Tooltip_modifier_electrician_energy_absorption"                           "Energy Absorption Speed"
"DOTA_Tooltip_modifier_electrician_energy_absorption_Description"               "Bonus %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% movement speed and %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed."

"DOTA_Tooltip_modifier_electrician_energy_absorption_debuff"                    "Energy Absorbed"
"DOTA_Tooltip_modifier_electrician_energy_absorption_debuff_Description"        "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"DOTA_Tooltip_modifier_electrician_bonus_mana_count"                            "Energy Absorption Mana"
"DOTA_Tooltip_modifier_electrician_bonus_mana_count_Description"                "Excess mana absorbed from enemies."

"DOTA_Tooltip_modifier_electrician_cleansing_shock_ally"                        "Cleansed"
"DOTA_Tooltip_modifier_electrician_cleansing_shock_ally_Description"            "Bonus %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% move speed and %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed, decaying over time."

