"npc_dota_hero_eul"                                                             "Eul"
"npc_dota_hero_eul_hype"                                                        "The Aeolus"
"npc_dota_eul_tornado"                                                          "Eul's Tornado"
"npc_dota_eul_wildkin"                                                          "Minor Wind God"

//"DOTA_Tooltip_ability_enraged_wildkin_hurricane"                                "Hurricane"
"DOTA_Tooltip_Ability_eul_hurricane_oaa"                                        "#{DOTA_Tooltip_ability_enraged_wildkin_hurricane}"
"DOTA_Tooltip_Ability_eul_hurricane_oaa_Description"                            "Creates a hurricane that can push any unit in the direction of Eul's choice. Deals damages if it's an enemy unit."
"DOTA_Tooltip_Ability_eul_hurricane_oaa_Lore"                                   "Wildwing Rippers think Eul is only a spirit of the wind."
//"DOTA_Tooltip_ability_enraged_wildkin_hurricane_distance"                       "DISTANCE PUSHED:"
"DOTA_Tooltip_Ability_eul_hurricane_oaa_distance"                               "#{DOTA_Tooltip_ability_enraged_wildkin_hurricane_distance}"
"DOTA_Tooltip_Ability_eul_hurricane_oaa_damage"                                 "DAMAGE:"

"DOTA_Tooltip_Ability_eul_tornado_collector_oaa"                                "Tornado Collector"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_Description"                    "Eul spawns a small tornado every %spawn_interval% seconds and every time he kills something. Spawned tornados automatically patrol around Eul and damage enemies they touch. Eul can activate this ability to consume a tornado to heal himself. Tornados are auto-consumed when they expire or when maximum number of tornados is reached."
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_Facet_eul_displacement"         "Blinks Eul into a random direction while damaging nearby enemies."
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_Lore"                           "Fine additions to Eul's immense collection."
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_Note0"                          "Break disables the spawning of new tornados."
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_Note1"                          "Break does not remove the existing tornados and does not prevent the heal from consumed tornados."
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_Note2"                          "Gaining health from consuming is considered lifesteal."
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_tornado_dps"                    "TORNADO DPS:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_max_tornados"                   "MAX TORNADOS:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_heal_per_tornado"               "HEAL PER TORNADO:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_tornado_damage_radius"          "TORNADO RADIUS:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_spawn_interval"                 "SPAWN INTERVAL:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_tornado_duration"               "TORNADO DURATION:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_wander_radius"                  "TORNADO FOLLOW RANGE:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_displacement_damage"            "DISPLACE DAMAGE:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_displacement_range"             "DISPLACE RANGE:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_displacement_cooldown"          "DISPLACE COOLDOWN:"
"DOTA_Tooltip_Ability_eul_tornado_collector_oaa_shard_description"              "Increases the max number of tornados and reduces tornado spawn interval."

"oaa_hud_error_eul_no_tornados"                                                 "No Tornados To Consume"

"DOTA_Tooltip_Ability_eul_wind_shield_oaa"                                      "Wind Control"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_Description"                          "Grants bonus move speed and attack speed for the duration. Passively also grants move speed and evasion against ranged attackers that are not within %evasion_range_check% radius of Eul."
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_Facet_eul_tornado_barrier"            "Grants an all damage barrier."
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_Facet_eul_ventus"                     "Re-directs all attack projectiles aimed at Eul and his allies towards the closest enemy. Redirected attack projectiles are slowed. Redirected target search range is determined by attacker's attack range."
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_Lore"                                 "Quick as the wind!"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_evasion"                              "%EVASION"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_passive_move_speed"                   "%PASSIVE MOVE SPEED:"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_active_move_speed"                    "%ACTIVE MOVE SPEED:"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_active_attack_speed"                  "ACTIVE ATTACK SPEED:"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_all_damage_block"                     "BARRIER HEALTH"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_deflect_aura_radius"                  "ACTIVE REDIRECT RANGE:"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_deflected_projectile_speed_pct"       "%REDIRECTED PROJECTILE SPEED:"
"DOTA_Tooltip_Ability_eul_wind_shield_oaa_active_duration"                      "ACTIVE DURATION:"

"DOTA_Tooltip_Ability_eul_typhoon_oaa"                                          "Typhoon"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_Description"                              "Summons a Typhoon that damages and slows enemies. The closer an enemy is to the center of the Typhoon, the higher the damage and slow becomes. Enemies who are within %max_effect_radius% range of the center are affected by the maximum slow and take maximum damage per second."
"DOTA_Tooltip_Ability_eul_typhoon_oaa_Lore"                                     "Boreas, Zephyrus, Eurus and Notus serve Eul the Aeolus, the God of all winds."
"DOTA_Tooltip_Ability_eul_typhoon_oaa_radius"                                   "TYPHOON RADIUS:"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_duration"                                 "TYPHOON DURATION:"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_max_move_slow"                            "%MAX MOVE SLOW:"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_min_move_slow"                            "%MIN MOVE SLOW:"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_max_dps"                                  "MAX DPS:"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_min_dps"                                  "MIN DPS:"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_max_effect_radius"                        "MAX EFFECT RADIUS:"
"DOTA_Tooltip_Ability_eul_typhoon_oaa_scepter_description"                      "Increases radius and duration. Spawns additional tornados for the Tornado Collector while active."
"DOTA_Tooltip_Ability_eul_typhoon_oaa_tornado_generate_interval"                "SCEPTER TORNADO SPAWN INTERVAL:"

// innate
//"DOTA_Tooltip_ability_tornado_tempest"                                          "Tempest"
//"DOTA_Tooltip_ability_tornado_tempest_Description"                              "The Tornado's overpowering winds slow all nearby enemies, flinging debris at them and inflicting damage every second. Enemies closer to the center of the Tornado take more damage."
"DOTA_Tooltip_ability_eul_innate_oaa"                                           "#{DOTA_Tooltip_ability_tornado_tempest}"
"DOTA_Tooltip_ability_eul_innate_oaa_Description"                               "Eul will stay on the battlefield even after death as a Tornado that slows and deals damage based on his attack damage. Tornado's movement speed is the same as the hero's movement speed."
"DOTA_Tooltip_ability_eul_innate_oaa_Lore"                                      "The Tornado's overpowering winds slow, fling debris and inflict damage. Enemies closer to the center of the Tornado take more damage."
"DOTA_Tooltip_ability_eul_innate_oaa_tornado_linger_time"                       "TORNADO DURATION:"
"DOTA_Tooltip_ability_eul_innate_oaa_movespeed_slow"                            "%MOVE SPEED SLOW:"
"DOTA_Tooltip_ability_eul_innate_oaa_attackspeed_slow"                          "%ATTACK SPEED SLOW:"
"DOTA_Tooltip_ability_eul_innate_oaa_tornado_radius"                            "TORNADO RADIUS:"
"DOTA_Tooltip_ability_eul_innate_oaa_attack_damage_as_tornado_damage_pct"       "%ATTACK DAMAGE AS TORNADO DPS:"

// modifiers
//"DOTA_Tooltip_modifier_enraged_wildkin_hurricane"                               "Hurricaned"
//"DOTA_Tooltip_modifier_enraged_wildkin_hurricane_Description"                   "Being pushed by a hurricane."

"DOTA_Tooltip_modifier_eul_tornado_collector_passive"                           "#{DOTA_Tooltip_Ability_eul_tornado_collector_oaa}"
"DOTA_Tooltip_modifier_eul_tornado_collector_passive_Description"               "Number of active Tornados."

"DOTA_Tooltip_modifier_eul_wind_shield_active"                                  "#{DOTA_Tooltip_Ability_eul_wind_shield_oaa}"
"DOTA_Tooltip_modifier_eul_wind_shield_active_Description"                      "Bonus move speed and attack speed."

"DOTA_Tooltip_modifier_eul_wind_shield_ventus_ally"                             "Ventus"
"DOTA_Tooltip_modifier_eul_wind_shield_ventus_ally_Description"                 "Eul is redirecting incoming attack projectiles towards enemies."

"DOTA_Tooltip_modifier_eul_typhoon_oaa_debuff"                                  "#{DOTA_Tooltip_Ability_eul_typhoon_oaa}"
"DOTA_Tooltip_modifier_eul_typhoon_oaa_debuff_Description"                      "Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and taking damage per second."

//"DOTA_Tooltip_modifier_tornado_tempest_debuff"                                  "Tempest"
//"DOTA_Tooltip_modifier_tornado_tempest_debuff_Description"                      "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%. Taking damage per second based on proximity to the Tornado."
"DOTA_Tooltip_modifier_eul_innate_oaa_dead_tornado_debuff"                      "#{DOTA_Tooltip_modifier_tornado_tempest_debuff}"
"DOTA_Tooltip_modifier_eul_innate_oaa_dead_tornado_debuff_Description"          "Taking damage, move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%%."

// talents

