"npc_dota_hero_shopkeeper"                                                      "Shopkeeper"
"npc_dota_hero_shopkeeper_hype"                                                 "The Keeper"
"npc_dota_shopkeeper_krekker"                                                   "Cracker"
"npc_dota_shopkeeper_item"                                                      "Item"

// Facets
"DOTA_Tooltip_Facet_facet_shop_keeper_1"                                        "Secret Shop"
"DOTA_Tooltip_Facet_facet_shop_keeper_1_Description"                            "All heroes near you in 450 radius can purchase items from the secret shop"
"DOTA_Tooltip_Facet_facet_shop_keeper_2"                                        "Regular Shop"
"DOTA_Tooltip_Facet_facet_shop_keeper_2_Description"                            "All heroes near you in 450 radius can purchase items from the regular shop"

// Innate Ability
"DOTA_Tooltip_ability_shopkeeper_ability_innate"                                "Wealthstrike"
"DOTA_Tooltip_ability_shopkeeper_ability_innate_description"                    "Hero's ranged attacks cost gold, each attack spends %gold_distance% gold but deals %distance_damage% additional magical damage.<br><br>Gains periodic gold every minute, increased by %percent%%%."
"DOTA_Tooltip_ability_shopkeeper_ability_innate_Lore"                           "There is no such thing as a free lunch. Or a free attack."

// Ability 1
// Ability 1
"DOTA_Tooltip_ability_shopkeeper_ability_1"                                     "Healing Salve"
"DOTA_Tooltip_ability_shopkeeper_ability_1_description"                         "Throws a potion at target point that heals allied units in the explosion radius and increases their movement speed."
"DOTA_Tooltip_ability_shopkeeper_ability_1_heal"                                "HEAL:"
"DOTA_Tooltip_ability_shopkeeper_ability_1_bonus_movement_speed"                "%MOVE SPEED BONUS:"
"DOTA_Tooltip_ability_shopkeeper_ability_1_duration"                            "DURATION:"
"DOTA_Tooltip_ability_shopkeeper_ability_1_Lore"                                "A staple of the shop, this green concoction has saved countless heroes from certain death."

// Ability 1 Modifiers
"DOTA_Tooltip_modifier_shopkeeper_ability_1_buff"                               "Healing Salve"
"DOTA_Tooltip_modifier_shopkeeper_ability_1_buff_description"                   "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

// Ability 2
"DOTA_Tooltip_ability_shopkeeper_hakoware"                                      "Hakoware"
"DOTA_Tooltip_ability_shopkeeper_hakoware_description"                          "Loans %gold_percentage%%% of your current gold to an enemy target. The debt grows over time. <br><br>When the duration ends, the target takes <b>Pure</b> damage equal to the debt, loses that amount of gold (paid to you), and is Muted. <br><br>If the target deals damage to Shopkeeper, they repay part of the debt immediately."
"DOTA_Tooltip_ability_shopkeeper_hakoware_interest_rate"                        "%INTEREST RATE:"
"DOTA_Tooltip_ability_shopkeeper_hakoware_gold_percentage"                      "%LOAN PERCENTAGE:"
"DOTA_Tooltip_ability_shopkeeper_hakoware_mute_duration"                        "MUTE DURATION:"
"DOTA_Tooltip_ability_shopkeeper_hakoware_duration"                             "DURATION:"
"DOTA_Tooltip_ability_shopkeeper_hakoware_Lore"                                 "Interest rates in the War of the Ancients are notoriously high."
"DOTA_Tooltip_modifier_shopkeeper_hakoware_debt"                                "Hakoware Debt"
"DOTA_Tooltip_modifier_shopkeeper_hakoware_debt_description"                    "Accumulating debt. Will take damage and lose gold when this expires. Dealing damage to Shopkeeper repays debt."
