// "npc_dota_goodguys_healers"                                                    "Shrine" // in dota_english
// "npc_dota_badguys_healers"                                                     "Shrine" // in dota_english

// "DOTA_Tooltip_ability_filler_ability"                                          "Sanctuary"
// "DOTA_Tooltip_ability_filler_ability_Description"                              "Activate to restore health and mana regeneration over time and gain %base_xp%XP for each time the shrine was activated"
// "DOTA_Tooltip_ability_filler_ability_Note0"                                    "Right click the Shrine to activate."
// "DOTA_Tooltip_ability_filler_ability_Note1"                                    "Regeneration values increase by +2/1 health/mana per minute."
// "DOTA_Tooltip_ability_filler_ability_Note2"                                    "Additionally restores 2% health/mana pool per second."
// "DOTA_Tooltip_ability_filler_ability_hp_heal"                                  "FLAT HEALTH REGEN:"
// "DOTA_Tooltip_ability_filler_ability_mp_heal"                                  "FLAT MANA REGEN:"
// "DOTA_Tooltip_ability_filler_ability_hp_heal_pct"                              "%HP REGEN:"
// "DOTA_Tooltip_ability_filler_ability_mp_heal_pct"                              "%MANA REGEN:"
// "DOTA_Tooltip_ability_filler_ability_duration"                                 "DURATION:"
// "DOTA_Tooltip_ability_filler_ability_radius"                                   "RADIUS:"

// "DOTA_Tooltip_modifier_filler_heal"                                            "Sanctuary Rejuvenation"
// "DOTA_Tooltip_modifier_filler_heal_Description"                                "Heals %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% hp and restores %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT_UNIQUE% mana per second."

"npc_dota_dire_shrine_oaa"                                                      "Shrine"
"npc_dota_radiant_shrine_oaa"                                                   "Shrine"

"DOTA_Tooltip_Ability_shrine_sanctuary_oaa"                                     "Sanctuary"
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_Description"                         "Activate to restore health and mana regeneration over time."
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_Lore"                                "Volvo likes breaking things."
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_Note0"                               "Right click the Shrine to activate."
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_hp_heal"                             "FLAT HP REGEN:"
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_mp_heal"                             "FLAT MANA REGEN:"
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_hp_heal_pct"                         "%HP REGEN:"
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_mp_heal_pct"                         "%MANA REGEN:"
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_duration"                            "DURATION:"
"DOTA_Tooltip_Ability_shrine_sanctuary_oaa_radius"                              "RADIUS:"

"DOTA_Tooltip_modifier_shrine_oaa_aura_effect"                                  "Sanctuary Rejuvenation"
"DOTA_Tooltip_modifier_shrine_oaa_aura_effect_Description"                      "Restores health and mana."
