//=============================================================================
// Game Options UI
//=============================================================================
"game_options_host"                                                             "Host:"
"game_options_reset"                                                            "Reset"
"game_options_hero_selection"                                                   "Hero Selection Mode:"
"game_option_ar"                                                                "All Random"
"game_option_ap"                                                                "All Pick"
"game_option_rd"                                                                "Random Draft"
"game_option_ardm"                                                              "All Random Death Match"
"game_option_lp"                                                                "Unpopular Heroes"
"game_option_spp"                                                               "2-6 Players"
"game_option_none"                                                              "None"
"game_option_random"                                                            "Random Surprise"
"game_options_randomize"                                                        "Randomize Hero Modifiers"

"hero_options_title"                                                            "Hero Modifiers:"
"boss_options_title"                                                            "Boss Modifiers:"
"units_options_title"                                                           "Other Modifiers:"

"game_option_lifesteal"                                                         "Hyper Lifesteal"
"game_option_aoe_radius"                                                        "Bonus AoE/Radius"
"game_option_blood_magic"                                                       "Blood Magic"
"game_option_timeless_relic"                                                    "Timeless Relic"
"game_option_echo_strike"                                                       "Echo Strike"
"game_option_hyper_active"                                                      "Hyper Active"
"game_option_no_cast_points"                                                    "Quick Spellcasting"
"game_option_physical_immune"                                                   "Physical Immunity"
"game_option_pro_active"                                                        "Pro-Active"
"game_option_spell_block"                                                       "Spell Resistance"
"game_option_troll_switch"                                                      "Attack Range Switch"
"game_option_hyper_experience"                                                  "Hyper Experience"
"game_option_diarrhetic"                                                        "Diarrhetic"
"game_option_rend"                                                              "Rend"
"game_option_telescope"                                                         "Telescope"
"game_option_healer"                                                            "Healer"
"game_option_explosive_death"                                                   "Explosive Death"
"game_option_no_hp_bar"                                                         "Hidden Health Bar"
"game_option_agressive_bosses"                                                  "Hostile"
"game_option_brute"                                                             "Brute"
"game_option_wisdom"                                                            "Wisdom"
"game_option_aghanim"                                                           "Aghanim"
"game_option_nimble"                                                            "Nimble"
"game_option_sorcerer"                                                          "Sorcerer"
"game_option_max_power"                                                         "Max Power"
"game_option_hp_mana_switch"                                                    "Moriah's Shield"
"game_option_magus"                                                             "Magus"
"game_option_brawler"                                                           "Brawler"
"game_option_chaos"                                                             "Chaos"
"game_option_double_multiplier"                                                 "2x Multiplier"
"game_option_hybrid"                                                            "Hybrid"
"game_option_drunk"                                                             "Drunkard"
"game_option_splasher"                                                          "Splasher"
"game_option_titan_soul"                                                        "Titan's Soul"
"game_option_white_queen"                                                       "White Queen"

"game_option_lifesteal_global"                                                  "All Units Hyper Lifesteal"
"game_option_buyback"                                                           "Enabled Buyback"

"game_option_random_description"                                                "This modifier will be revealed when the game starts!"
"game_option_lifesteal_description"                                             "75% lifesteal and spell lifesteal against heroes. 25% against creeps and illusions."
"game_option_aoe_radius_description"                                            "Most spells' and items' radius (AoE) increased by 50%."
"game_option_blood_magic_description"                                           "Spells cost health equal to 2.5 times their mana cost. All mana (except base mana) turned into bonus hp. All mana regen turned into bonus hp regen."
"game_option_timeless_relic_description"                                        "Bonus 30% debuff duration and bonus 30% spell amplification."
"game_option_echo_strike_description"                                           "25% chance for every attack to proc another attack. Can proc on any attack."
"game_option_hyper_active_description"                                          "25% cooldown reduction, 25% mana-cost reduction and 25% status resistance."
"game_option_no_cast_points_description"                                        "No cast points. Casting spells doesn't require facing. Channelling spells still have channel time."
"game_option_physical_immune_description"                                       "Immune to attack damage and spells that deal physical damage."
"game_option_pro_active_description"                                            "50% cooldown reduction. Affected by permanent Break (passives-disabled)."
"game_option_spell_block_description"                                           "Bonus 30% magic resistance, bonus 30% status resistance and 30% chance to block a single-targeted spell. Spell Block has a 10s cooldown."
"game_option_troll_switch_description"                                          "Melee heroes become ranged and ranged heroes become melee. After the switch: Melee heroes gain 50 bonus hp per level and ranged heroes gain 5 bonus attack speed per level."
"game_option_hyper_experience_description"                                      "Heroes gain 3x experience from all sources."
"game_option_diarrhetic_description"                                            "Poops an observer or sentry ward every 30 seconds." // Ward buttons cooldown reduced to 30 seconds."
"game_option_rend_description"                                                  "Every attack applies stacking armor reduction debuff. Each debuff reduces armor by 1."
"game_option_telescope_description"                                             "Bonus 350 cast range, attack range and vision range."
"game_option_healer_description"                                                "Bonus 75% healing amplification."
"game_option_explosive_death_description"                                       "Explodes on death, knocking back and dealing damage to enemies in the vicinity."
"game_option_no_hp_bar_description"                                             "Health Bar above your hero isn't visible to other players. You cannot see if the hero is full health or near death."
"game_option_agressive_bosses_description"                                      "Bosses cannot regen, heal or lifesteal. Bosses will never deaggro once aggroed unless they are too far away from the initial aggro location. Bosses with phases never become weaker."
"game_option_brute_description"                                                 "Grants 1 strength per hero level and 0.05 attack damage per point of HP." // Changes primary attribute to Strength if non-strength hero. Changes primary attribute randomly otherwise.
"game_option_wisdom_description"                                                "Grants 1 intelligence per hero level and 0.008% spell amplification per point of mana." // Changes primary attribute to Intelligence if non-intelligence hero. Changes primary attribute randomly otherwise.
"game_option_aghanim_description"                                               "Heroes start with consumed Aghanim Scepter and Aghanim Shard."
"game_option_nimble_description"                                                "Grants 1 agility per hero level, and for each point in agility grants 0.08% movement speed and 0.05% evasion. Removes max move speed and max attack speed limits." // Changes primary attribute to Agility if non-agility hero.
"game_option_sorcerer_description"                                              "25% chance to refresh the last used spell and 25% chance to refresh all spells on hero kill. Chance for charge-based abilities is reduced to 5%. Chance for items is reduced to 2%."
"game_option_max_power_description"                                             "25% chance to do 2.5x critical damage on each attack and spell damage instance (Normal Crit + Spell Crit)."
"game_option_hp_mana_switch_description"                                        "Grants a shield that absorbs 50% of incoming damage in exchange for mana. Most spells have health cost instead of mana cost."
"game_option_magus_description"                                                 "25% chance for every attack to cast a random spell. Can proc on any attack."
"game_option_brawler_description"                                               "When attacked you gain bonus attack speed, move speed and attack damage."
"game_option_chaos_description"                                                 "Every hero has a different modifier. Modifier will change on respawn."
"game_option_double_multiplier_description"                                     "Every ability number is multiplied by 2 with a few exceptions."
"game_option_hybrid_description"                                                "Every time you attack you gain bonus spell amp, every time you cast a spell you gain bonus attack damage. Bonus attack damage is equal to 2 x spell cooldown."
"game_option_drunk_description"                                                 "15% chance to do 3x critical damage on each attack and spell damage instance. 15% chance to avoid any damage. 15%% chance to miss a spell and moves randomly when idle."
"game_option_splasher_description"                                              "Any damage dealt splashes in 300 radius around the damaged unit."
"game_option_titan_soul_description"                                            "+1 all stats per hero level. You are bigger, you have free-Pathing and every second you deal damage to enemies within 300 radius. Damage is 2x your primary attribute (2/3 of all stats for Universal)."
"game_option_white_queen_description"                                           "Debuff Protection and 50% damage reduction while casting or channelling an ability."

"game_option_lifesteal_global_description"                                      "All creeps and heroes gain 75% lifesteal and spell lifesteal against heroes. 25% against creeps and illusions."
"game_option_buyback_description"                                               "#{game_option_buyback}"

"DOTA_Tooltip_modifier_any_damage_lifesteal_oaa"                                "#{game_option_lifesteal}"
"DOTA_Tooltip_modifier_any_damage_lifesteal_oaa_Description"                    "75%% lifesteal and spell lifesteal against heroes. 25%% against creeps and illusions."
"DOTA_Tooltip_modifier_aoe_radius_increase_oaa"                                 "#{game_option_aoe_radius}"
"DOTA_Tooltip_modifier_aoe_radius_increase_oaa_Description"                     "Most spells' and items' radius (AoE) increased by 50%%."
"DOTA_Tooltip_modifier_blood_magic_oaa"                                         "#{game_option_blood_magic}"
"DOTA_Tooltip_modifier_blood_magic_oaa_Description"                             "#{game_option_blood_magic_description}"
"DOTA_Tooltip_modifier_debuff_duration_oaa"                                     "#{game_option_timeless_relic}"
"DOTA_Tooltip_modifier_debuff_duration_oaa_Description"                         "+30%% debuff duration and +30%% spell amplification."
"DOTA_Tooltip_modifier_echo_strike_oaa"                                         "#{game_option_echo_strike}"
"DOTA_Tooltip_modifier_echo_strike_oaa_Description"                             "25%% chance for every attack made by this unit to proc another attack. Can proc on procced attack."
"DOTA_Tooltip_modifier_ham_oaa"                                                 "#{game_option_hyper_active}"
"DOTA_Tooltip_modifier_ham_oaa_Description"                                     "25%% cooldown reduction, 25%% mana-cost reduction and 25%% status resistance."
"DOTA_Tooltip_modifier_no_cast_points_oaa"                                      "#{game_option_no_cast_points}"
"DOTA_Tooltip_modifier_no_cast_points_oaa_Description"                          "#{game_option_no_cast_points_description}"
"DOTA_Tooltip_modifier_physical_immunity_oaa"                                   "#{game_option_physical_immune}"
"DOTA_Tooltip_modifier_physical_immunity_oaa_Description"                       "#{game_option_physical_immune_description}"
"DOTA_Tooltip_modifier_pro_active_oaa"                                          "#{game_option_pro_active}"
"DOTA_Tooltip_modifier_pro_active_oaa_Description"                              "50%% cooldown reduction. Most passive abilities are disabled."
"DOTA_Tooltip_modifier_spell_block_oaa"                                         "#{game_option_spell_block}"
"DOTA_Tooltip_modifier_spell_block_oaa_Description"                             "+30%% magic resistance, +30%% status resistance and 30%% chance to block a single-targeted spell. Spell Block has a 10s cooldown."
"DOTA_Tooltip_modifier_spell_block_cooldown_oaa"                                "Spell Block Cooldown."
"DOTA_Tooltip_modifier_spell_block_cooldown_oaa_Description"                    "Cannot block spells while having this debuff."
"DOTA_Tooltip_modifier_troll_switch_oaa"                                        "#{game_option_troll_switch}"
"DOTA_Tooltip_modifier_troll_switch_oaa_Description"                            "Switched attack capability. If melee, gains 50 bonus hp per level and if ranged, gains 5 bonus attack speed per level."
"DOTA_Tooltip_modifier_hyper_experience_oaa"                                    "#{game_option_hyper_experience}"
"DOTA_Tooltip_modifier_hyper_experience_oaa_Description"                        "Gaining 300%% experience from all sources."
"DOTA_Tooltip_modifier_diarrhetic_oaa"                                          "#{game_option_diarrhetic}"
"DOTA_Tooltip_modifier_diarrhetic_oaa_Description"                              "#{game_option_diarrhetic_description}"
"DOTA_Tooltip_modifier_rend_oaa"                                                "#{game_option_rend}"
"DOTA_Tooltip_modifier_rend_oaa_Description"                                    "#{game_option_rend_description} Debuff lasts 5 seconds if not refreshed."
"DOTA_Tooltip_modifier_rend_armor_reduction_oaa"                                "Armor Reduction Stack"
"DOTA_Tooltip_modifier_rend_armor_reduction_oaa_Description"                    "Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"DOTA_Tooltip_modifier_range_increase_oaa"                                      "#{game_option_telescope}"
"DOTA_Tooltip_modifier_range_increase_oaa_Description"                          "#{game_option_telescope_description}"
"DOTA_Tooltip_modifier_healer_oaa"                                              "#{game_option_healer}"
"DOTA_Tooltip_modifier_healer_oaa_Description"                                  "Bonus 75%% healing amplification"
"DOTA_Tooltip_modifier_explosive_death_oaa"                                     "#{game_option_explosive_death}"
"DOTA_Tooltip_modifier_explosive_death_oaa_Description"                         "On Death, knocks back and deals damage to enemies in the area. Damage is based on your max health and networth. Radius is based on your level."
"DOTA_Tooltip_modifier_no_health_bar_oaa"                                       "#{game_option_no_hp_bar}"
"DOTA_Tooltip_modifier_no_health_bar_oaa_Description"                           "#{game_option_no_hp_bar_description}"
"DOTA_Tooltip_modifier_boss_aggresive_oaa"                                      "#{game_option_agressive_bosses}"
"DOTA_Tooltip_modifier_boss_aggresive_oaa_Description"                          "This boss cannot regen, heal or lifesteal. It will never deaggro once aggroed unless it is too far away from the initial aggro location. If this boss has phases, phase number will never go down."
"DOTA_Tooltip_modifier_brute_oaa"                                               "#{game_option_brute}"
"DOTA_Tooltip_modifier_brute_oaa_Description"                                   "Grants 1 STR per hero level and 0.05 damage per point of HP. (%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% strength and %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% damage.)" // Changes primary attribute to STR if non-STR hero. Changes primary attribute randomly otherwise.
"DOTA_Tooltip_modifier_wisdom_oaa"                                              "#{game_option_wisdom}"
"DOTA_Tooltip_modifier_wisdom_oaa_Description"                                  "Grants 1 INT per hero level and 0.008%% spell amp per point of mana. (%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% intelligence and %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% spell amp.)" // Changes primary attribute to INT if non-INT hero. Changes primary attribute randomly otherwise.
"DOTA_Tooltip_modifier_aghanim_oaa"                                             "#{game_option_aghanim}"
"DOTA_Tooltip_modifier_aghanim_oaa_Description"                                 "#{game_option_aghanim_description}"
"DOTA_Tooltip_modifier_nimble_oaa"                                              "#{game_option_nimble}"
"DOTA_Tooltip_modifier_nimble_oaa_Description"                                  "Grants 1 AGI per hero level, and for each point in AGI grants 0.08%% move speed and 0.05%% evasion. Removes speed limits. (%dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% agility, %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% move speed and %fMODIFIER_PROPERTY_EVASION_CONSTANT%%% evasion.)" // Changes primary attribute to AGI if non-AGI hero.
"DOTA_Tooltip_modifier_sorcerer_oaa"                                            "#{game_option_sorcerer}"
"DOTA_Tooltip_modifier_sorcerer_oaa_Description"                                "25%% chance to refresh the last used spell and 25%% chance to refresh all spells on hero kill. Chance for charge-based abilities is reduced to 5%%. Chance for items is reduced to 2%%."
"DOTA_Tooltip_modifier_any_damage_crit_oaa"                                     "#{game_option_max_power}"
"DOTA_Tooltip_modifier_any_damage_crit_oaa_Description"                         "25%% chance to do 2.5x critical damage on each attack and spell damage instance."
"DOTA_Tooltip_modifier_hp_mana_switch_oaa"                                      "#{game_option_hp_mana_switch}"
"DOTA_Tooltip_modifier_hp_mana_switch_oaa_Description"                          "Grants a shield that absorbs 50%% of incoming damage in exchange for mana. Most spells have health cost instead of mana cost."
"DOTA_Tooltip_modifier_magus_oaa"                                               "#{game_option_magus}"
"DOTA_Tooltip_modifier_magus_oaa_Description"                                   "25%% chance for every attack to cast a random spell. Doesn't work when silenced or disarmed or against spell-immune units."
"DOTA_Tooltip_modifier_brawler_oaa"                                             "#{game_option_brawler}"
"DOTA_Tooltip_modifier_brawler_oaa_Description"                                 "Every time this unit gets attacked, it will gain bonus attack speed, move speed and bonus damage. Bonus damage is based on it's base damage. Buff lasts 5 seconds if not refreshed."
"DOTA_Tooltip_modifier_brawler_stack_oaa"                                       "#{game_option_brawler} Stack"
"DOTA_Tooltip_modifier_brawler_stack_oaa_Description"                           "Move speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%, attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and damage increased by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
"DOTA_Tooltip_modifier_chaos_oaa"                                               "#{game_option_chaos}"
"DOTA_Tooltip_modifier_chaos_oaa_Description"                                   "#{game_option_chaos_description}"
"DOTA_Tooltip_modifier_all_healing_amplify_oaa"                                 "Anti-Judecca"
"DOTA_Tooltip_modifier_all_healing_amplify_oaa_Description"                     "+50%% heal amp, lifesteal amp, hp regen amp and spell lifesteal amp."
"DOTA_Tooltip_modifier_bonus_armor_negative_magic_resist_oaa"                   "Guardian's Weakness"
"DOTA_Tooltip_modifier_bonus_armor_negative_magic_resist_oaa_Description"       "+200 Armor, -200%% magic resistance"
"DOTA_Tooltip_modifier_cursed_attack_oaa"                                       "Cursed Attack"
"DOTA_Tooltip_modifier_cursed_attack_oaa_Description"                           "You have no agility, but you have 50%% chance to do 350 extra pure damage on attack."
"DOTA_Tooltip_modifier_no_brain_oaa"                                            "No Brain"
"DOTA_Tooltip_modifier_no_brain_oaa_Description"                                "You have no intelligence, +350 attack speed."
"DOTA_Tooltip_modifier_courier_kill_bonus_oaa"                                  "Courier Hunter"
"DOTA_Tooltip_modifier_courier_kill_bonus_oaa_Description"                      "Every time you kill a courier you gain +15 all stats."
"DOTA_Tooltip_modifier_courier_kill_bonus_all_stats_oaa"                        "Courier Kills"
