// "DOTA_Item_Build_Starting_Items"                                               "Starting Items"
// "DOTA_Item_Build_Early_Game"                                                   "Early Game"
// "DOTA_Item_Build_Core_Items"                                                   "Core Items"
// "DOTA_Item_Build_Luxury"                                                       "Situational Items"
// "DOTA_Item_Build_Starting_Items_Secondary"                                     "Starting Items (Bear)"
// "DOTA_Item_Build_Core_Items_Secondary"                                         "Core Items (Bear)"

"DOTA_Item_Build_Summons_Core"                                                  "For Summons"
"DOTA_Item_Build_Physical_Core"                                                 "Right Click Items"
"DOTA_Item_Build_Magical_Core"                                                  "Spell Dmg Items"
"DOTA_Item_Build_Shard"                                                         "Buy Shard at 12:00"
"DOTA_Item_Build_Support_Core"                                                  "Support Items"
"DOTA_Item_Build_Bear_Early"                                                    "Early Game (Bear)"
"DOTA_Item_Build_Druid"                                                         "Lone Druid Items"
"DOTA_Item_Build_Alchemist"                                                     "Give Aghs pls"
"DOTA_Item_Build_Tank_Core"                                                     "Tank Items"
"DOTA_Item_Build_Spell_Lifesteal_Tank"                                          "Spell Lifesteal Items"
"DOTA_Item_Build_For_Farming"                                                   "For Farming (1 of these)"
"DOTA_Item_Build_Utility_Initiation"                                            "Utility & Initiation"
"DOTA_Item_Build_Illusions_Core"                                                "Illusion Items"
"DOTA_Item_Build_Necro_Aura"                                                    "Buff Heartstopper"
"DOTA_Item_Build_Necro_Death_Pulse_and_Reapers"                                 "Buff Other Abilities"
"DOTA_Item_Build_Sven_Gigachad"                                                 "Gigachad"
"DOTA_Item_Build_Boss_Killer"                                                   "Boss Killing:"
