"dota_tip_introduction_1"       "There are multiple neutral camps on the map, don't farm only 4 camps in your base the whole time."
"dota_tip_introduction_2"       "Be careful when leaving your base highground."
"dota_tip_introduction_5"       "There are \"Side Shops\" in every duel arena, where Dust of Appearance can be purchased."
"dota_tip_introduction_6"       "Azazel's items can only be purchased at a \"Azazel Shop\"."
"dota_tip_introduction_7"       "For most heroes, the \"Ultimate\" ability can be learned at level 6, and strengthened at levels 12, 18, 37 and 49."
"dota_tip_introduction_9"       "Every team starts with a Courier. You cannot buy another one."

"dota_tip_universal_4"          "Heroes are purged and invulnerable for 2 seconds at the start of every duel. Therefore some spells have no effect during that time."
"dota_tip_universal_9"          "Before -0:10 on the clock, you cannot leave the base."
"dota_tip_universal_10"         "Anyone can buy a Ward stack. If your team needs something, don't be afraid to buy it!"
"dota_tip_universal_15"         "Remember to poop aggressively."
"dota_tip_universal_16"         "Spark buffs upgrade automatically over time. They upgrade every time a non-boss capture point spawns."
"dota_tip_universal_28"         "You cannot buyback in Open Angel Arena."
"dota_tip_universal_36"         "If you click on the Glyph of Fortification button, you will drop a free ward (poop ward) at your hero location."
"dota_tip_universal_42"         "Hope everyone is having a great day."
"dota_tip_universal_48"         "Always be nice to supports that place wards."
"dota_tip_universal_49"         "Capturing points or killing bosses is usually more valuable to your team than slaying an enemy hero."
"dota_tip_universal_62"         "Four bounty runes will spawn when the game begins and respawn every 2 minutes."
"dota_tip_universal_63"         "If Private Pigeon is on your team, (don't) farm."
"dota_tip_universal_64"         "You can change your Spark buff at any point of the game if its not on cooldown."
"dota_tip_universal_65"         "Bosses have True Sight when damaged, revealing invisible units in 1200 radius."
"dota_tip_universal_66"         "Some spells have no effect on bosses."
"dota_tip_universal_68"         "All bosses grant experience when killed."
"dota_tip_universal_73"         "Healing Salves and Clarities are only disrupted by Heroes and player-controlled creeps."

//BEGINNER PAUSE TIPS
"dota_tip_beginner_1"           "If you are not sure what Spark buff to choose, take GPM Spark."
"dota_tip_beginner_3"           "Use Ward Stack or Far Sight to reveal parts of the map and increase your awareness of the enemy team's movements."
"dota_tip_beginner_4"           "Upgrade Cores allow you to upgrade your items."
"dota_tip_beginner_7"           "Bosses are much easier to kill with attack speed slows and magic damage."
"dota_tip_beginner_11"          "Bosses spawn into the map at 3:00."
"dota_tip_beginner_12"          "Blue and Purple neutral creeps give the most experience when killed."
"dota_tip_beginner_13"          "You cannot fight bosses and Ancients right at the start of the game. You need to tank up first."
"dota_tip_beginner_15"          "No matter how many legs your chosen Hero has, you only need a single set of boots."
"dota_tip_beginner_20"          "One rune will appear in the center of the map every 2 minutes."
"dota_tip_beginner_21"          "You cannot use Infinity Bottle for storing runes. Infinity Bottles will expire when you use all the charges."
"dota_tip_beginner_28"          "Each hero on a capture point speeds up the capture time."
"dota_tip_beginner_29"          "Bosses can see and attack invisible units."
"dota_tip_beginner_31"          "If everybody is farming on your team and you don't have a support, you probably lost already."
"dota_tip_beginner_32"          "The Side Shops in duel arenas sell Dust of Appearance."
"dota_tip_beginner_41"          "The Secret Shop in Open Angel Arena is Azazel's Shop and its not actually a secret."
"dota_tip_beginner_44"          "Glyph of Fortification button gives you a Poop Ward - an Observer Ward at your hero location that enemies can see without True Sight if they walk near it."
"dota_tip_beginner_51"          "In Open Angel Arena, each player automatically earns 2 gold every second, or 120 gold every minute. This increases over time."
"dota_tip_beginner_53"          "Wards cannot be bought individually, instead the Ward Stack item is used to generate both Observer and Sentry wards passively."
"dota_tip_beginner_57"          "There are 4 Bounty Rune locations on the map. They spawn at the start of the game, and every 2 minutes."

//INTERMEDIATE PAUSE TIPS
"dota_tip_intermediate_1"       "First Wanderer (wandering boss) spawns at 12:00."
"dota_tip_intermediate_3"       "When bosses are killed, a new higher tier bosses will spawn at their place. Tier of a boss can be seen on the minimap - every tier has specific icons."
"dota_tip_intermediate_4"       "Neutral creeps start spawning at 00:00, and then at every minute mark thereafter."
"dota_tip_intermediate_9"       "Using a Pipe of Insight will allow you to mitigate magic damage from enemy Heroes."
"dota_tip_intermediate_11"      "You can split a higher tier upgrade core into two lower tier cores if you click on it and channel for 3 seconds."
"dota_tip_intermediate_12"      "You cannot block neutral creep camps from respawning at the minute mark."
"dota_tip_intermediate_21"      "Neutral creep camps stack automatically every minute. No need for pulling creeps out of the camp."
"dota_tip_intermediate_22"      "Neutral creeps can drop Infinity Bottles. Infinity Bottles help you regenerate health and mana."
