//==========================================
// CORES
//==========================================

		"DOTA_Tooltip_Ability_item_combiner"												"Combiner"
		"DOTA_Tooltip_ability_item_combiner_Description"									"Allows you to combine certain items."
		"DOTA_Tooltip_ability_item_combiner_Lore"											"A twisted core capable of fusing precious objects."

		"DOTA_Tooltip_Ability_item_reflex_core"												"Reflex Core"
		"DOTA_Tooltip_ability_item_reflex_core_Description"									"Enables the creation of Reflex Items."
		"DOTA_Tooltip_ability_item_reflex_core_Lore"										"The body is a river, the mind is a reed."

		"DOTA_Tooltip_Ability_item_farming_core"											"Farming Core"
		"DOTA_Tooltip_ability_item_farming_core_Description"								"Enables the creation of Greater Boots."
		"DOTA_Tooltip_ability_item_farming_core_Lore"										"Looks like you're in need of some cool shoes."

		"DOTA_Tooltip_Ability_item_upgrade_core"											"Upgrade Core"
		"DOTA_Tooltip_ability_item_upgrade_core_Description"								"Unlocks unbelievable power."
		"DOTA_Tooltip_ability_item_upgrade_core_Lore"										"This core is infused with ultimate power."

		"DOTA_Tooltip_Ability_item_upgrade_core_2"											"Upgrade Core"
		"DOTA_Tooltip_ability_item_upgrade_core_2_Description"								"Unlocks unbelievable power."
		"DOTA_Tooltip_ability_item_upgrade_core_2_Lore"										"This core is infused with ultimate power."

		"DOTA_Tooltip_Ability_item_upgrade_core_3"											"Upgrade Core"
		"DOTA_Tooltip_ability_item_upgrade_core_3_Description"								"Unlocks unbelievable power."
		"DOTA_Tooltip_ability_item_upgrade_core_3_Lore"										"This core is infused with ultimate power."

		"DOTA_Tooltip_Ability_item_upgrade_core_4"											"Upgrade Core"
		"DOTA_Tooltip_ability_item_upgrade_core_4_Description"								"Unlocks unbelievable power."
		"DOTA_Tooltip_ability_item_upgrade_core_4_Lore"										"This core is infused with ultimate power."
		
