//============================================================================
// Martyr's Mail
//============================================================================
		"DOTA_Tooltip_Ability_item_martyrs_mail"									"Martyr's Mail"
		"DOTA_Tooltip_Ability_item_recipe_martyrs_mail"								"Martyr's Mail Recipe"
		"DOTA_Tooltip_Ability_item_martyrs_mail_Lore"								"The tattered remains of a paladin's hauberk."
		"DOTA_Tooltip_ability_item_martyrs_mail_Note0"								"Damage Return is calculated before any kind of reduction."
		"DOTA_Tooltip_ability_item_martyrs_mail_Note1"								"Damage Return doesn't reflect damage from other forms of Blademail."
		"DOTA_Tooltip_ability_item_martyrs_mail_Note2"								"Returned damage type is the same as it was received."
		"DOTA_Tooltip_ability_item_martyrs_mail_Note3"								"Can pierce Spell Immunity if the original damage type does."
		"DOTA_Tooltip_ability_item_martyrs_mail_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_martyrs_mail_bonus_armor"						"+$armor"
		"DOTA_Tooltip_ability_item_martyrs_mail_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_martyrs_mail_duration"							"DAMAGE RETURN DURATION:"
		"DOTA_Tooltip_Ability_item_martyrs_mail_heal_aoe"							"HEAL AOE:"
		"DOTA_Tooltip_Ability_item_martyrs_mail_heal_percent"						"HEAL PERCENT:"
		"DOTA_Tooltip_Ability_item_martyrs_mail_Description"						"Active: Damage Return - Reflects any damage taken back to the unit that dealt the damage.  Lasts %duration% seconds.\nHeals nearby allies for %heal_percent% of the damage taken."

		"DOTA_Tooltip_Ability_item_martyrs_mail_2"									"Martyr's Mail"
		"DOTA_Tooltip_Ability_item_recipe_martyrs_mail_2"							"Martyr's Mail Recipe"
		"DOTA_Tooltip_Ability_item_martyrs_mail_2_Lore"								"The tattered remains of a paladin's hauberk."
		"DOTA_Tooltip_ability_item_martyrs_mail_2_Note0"							"Damage Return is calculated before any kind of reduction."
		"DOTA_Tooltip_ability_item_martyrs_mail_2_Note1"							"Damage Return doesn't reflect damage from other forms of Blademail."
		"DOTA_Tooltip_ability_item_martyrs_mail_2_Note2"							"Returned damage type is the same as it was received."
		"DOTA_Tooltip_ability_item_martyrs_mail_2_Note3"							"Can pierce Spell Immunity if the original damage type does."
		"DOTA_Tooltip_ability_item_martyrs_mail_2_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_martyrs_mail_2_bonus_armor"						"+$armor"
		"DOTA_Tooltip_ability_item_martyrs_mail_2_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_martyrs_mail_2_duration"							"DAMAGE RETURN DURATION:"
		"DOTA_Tooltip_Ability_item_martyrs_mail_2_heal_aoe"							"HEAL AOE:"
		"DOTA_Tooltip_Ability_item_martyrs_mail_2_heal_percent"						"HEAL PERCENT:"
		"DOTA_Tooltip_Ability_item_martyrs_mail_2_Description"						"Active: Damage Return - Reflects any damage taken back to the unit that dealt the damage.  Lasts %duration% seconds.\nHeals nearby allies for %heal_percent% of the damage taken."
