		"DOTA_Tooltip_Ability_item_postact"												"postactive Reflex"
		"DOTA_Tooltip_ability_item_postact_Description"									"Active: Purge out of first buff applied to you."
		"DOTA_Tooltip_ability_item_postact_Lore"										"Survival of the fittest."

		"DOTA_Tooltip_Ability_item_postact_2"											"postactive Reflex 2"
		"DOTA_Tooltip_ability_item_postact_2_Description"								"Active: Invisibility for $postact_duration seconds.\nCan be used while stunned."
		"DOTA_Tooltip_ability_item_postact_2_Lore"										"Survival of the fittest."

		"DOTA_Tooltip_Ability_item_postact_3"											"postactive Reflex 3"
		"DOTA_Tooltip_ability_item_postact_3_Description"								"Active: Invisibility for $postact_duration seconds, regen $postact_regen HP/s, spawns an illusion and Hard Dispels.\nCan be used while stunned."
		"DOTA_Tooltip_ability_item_postact_3_Lore"										"Survival of the fittest."
