//===============================================================================
// Preemptive Reflex
//===============================================================================
		"DOTA_Tooltip_Ability_item_preempt"												"Preemptive Reflex"
		"DOTA_Tooltip_ability_item_preempt_Description"									"Active: %damage_reduction%%% damage for $preempt_duration seconds."
		"DOTA_Tooltip_ability_item_preempt_Lore"										"Your preparedness is your shield."

		"DOTA_Tooltip_Ability_item_preempt_2"											"Preemptive Reflex 2"
		"DOTA_Tooltip_ability_item_preempt_2_Description"								"Active: %damage_reduction%%% damage plus constant Soft Dispel for $preempt_duration seconds."
		"DOTA_Tooltip_ability_item_preempt_2_Lore"										"Your preparedness is your shield."

		"DOTA_Tooltip_Ability_item_preempt_3"											"Preemptive Reflex 3"
		"DOTA_Tooltip_ability_item_preempt_3_Description"								"Active: %damage_reduction%%% damage plus constant Soft Dispel and Spell Shield for $preempt_duration seconds."
		"DOTA_Tooltip_ability_item_preempt_3_Lore"										"Your preparedness is your shield."
