//==========================================
// REFLEX ITEMS
//==========================================


		"DOTA_Tooltip_Ability_item_react"												"Reactive Reflex"
		"DOTA_Tooltip_ability_item_react_Description"									"Active: Invulnerability for $react_duration seconds."
		"DOTA_Tooltip_ability_item_react_Lore"											"Your instincts empower you."

		"DOTA_Tooltip_Ability_item_react_2"												"Reactive Reflex 2"
		"DOTA_Tooltip_ability_item_react_2_Description"									"Active: Invulnerability and Spell Return for $react_duration seconds."
		"DOTA_Tooltip_ability_item_react_2_Lore"										"Your instincts empower you."

		"DOTA_Tooltip_Ability_item_react_3"												"Reactive Reflex 3"
		"DOTA_Tooltip_ability_item_react_3_Description"									"Active: Invulnerability and Spell Return for $react_duration seconds.\nOn Spell Return, gain blink/invincibility until next action."
		"DOTA_Tooltip_ability_item_react_3_Lore"										"Your instincts empower you."
